行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	サンタ帽もみみっぽいのあるしやっぱりケモミミはえてるんだよな姉ちゃんは	
1	00:00:00	くりお	新衣装はドンキかどっかで買ってきたのかな	
2	00:00:00	りあすて	弟のためにドンキでパリピ衣装買って着てくれる姉ちゃん好き	
3	00:00:00	ジャック・オー	常にお胸を強調してる体勢であれがあれしてしまう	
4	00:00:00	なんたら	新衣装！！！	￥1,000
5	00:00:00	周恩来		￥500
6	00:00:00	ぴねかっと		￥100
7	00:00:00	スモーク	おつー	￥1,000
8	00:00:19	周恩来	おいしい煮玉子	
9	00:00:20	らうらう	プラグインにたまご	
10	00:00:22	タケノコ男	おいしい煮玉子	
11	00:00:23	りあすて	おいしい煮玉子	
12	00:00:23	デンキヒツジ	おいしい煮玉子	
13	00:00:24	なんたら	おいしい煮玉子	
14	00:00:24	Clacklin/クラックリン	おいしい煮玉子	
15	00:00:25	ほるもん	おいしい煮玉子	
16	00:00:27	リフェ	おいしい煮玉子	
17	00:00:27	うぇいのる	おいしい煮玉子	
18	00:00:28	カギアカギ	おいしい煮玉子	
19	00:00:28	ZW犬死無能盾-肉無鶏	おいしい煮玉子	
20	00:00:31	くりお	おいしいプラグイン	
21	00:00:31	竹輪	おいしい煮玉子	
22	00:00:32	東京コノハムシ	ドンキはJCのみかた	
23	00:00:40	mori mori	姉ちゃん屈むと	
24	00:00:43	ジョナサン・グレーン	おいしい煮玉子まじ卍	
25	00:00:44	りあすて	えっっっっち	
26	00:00:44	むらさきあんこ	おいしいサンタ衣装	
27	00:00:49	biggs	かわいい	
28	00:00:50	ジュンペイ	まじ煮玉子	
29	00:00:50	東京コノハムシ	おいしい煮玉子	
30	00:01:00	HILO	おいしい煮玉子	
31	00:01:01	あまいさい	おいしい煮玉子！	
32	00:01:12	御早和杯	おいしい煮玉子	
33	00:01:15	嘉月	おいしい煮玉子	
34	00:01:15	eve 8848	おいしい煮玉子	
35	00:01:17	_ Tamaya	👺	
36	00:01:21	ねこくーる	こんばんは煮玉子	
37	00:01:29	内海柚	おいしい煮玉子ー	
38	00:01:35	A-100100	おいしい煮玉子	
39	00:01:37	くりお	ハドソンからの使い	
40	00:01:42	ジャック・オー	タイトルpart1/2になってるけど大丈夫？	
41	00:02:11	東京コノハムシ	藤崎詩織と戦う者	
42	00:02:18	なんたら	さっきまでの枠はpart 0?	
43	00:02:20	Clacklin/クラックリン	2/2じゃない？ってこと	
44	00:02:21	koron巻	初見です、ロックマンエグゼとても懐かしいです～	
45	00:02:21	ジョナサン・グレーン	かわいいなーっ！	
46	00:02:36	ジャック・オー	さっきまでのはプロローグだった…？	
47	00:02:39	ZW犬死無能盾-肉無鶏	ボンバーマン前に直す？	
