行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	桜田紅	おいしい煮玉子	
2	00:00:00	リフェ	おいしい煮玉子	
3	00:00:00	スモーク	おいしい煮玉子	
4	00:00:00	むむめめ	おいしい煮玉子	
5	00:00:00	小さい胡麻塩	おいしい煮玉子	
6	00:00:00	九代目中山稲五朗	おいしい煮玉子	
7	00:00:00	T.のかね	おいしい煮玉子	
8	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
9	00:00:00	JUNY	おいしい煮玉子	
10	00:00:00	ひとーん	おいしい煮玉子	
11	00:00:19	リフェ	おいしい煮玉子	
12	00:00:22	motiyomogi	おいしい煮玉子	
13	00:00:22	タケノコ男	おいしい煮玉子	
14	00:00:23	なる	おいしい煮玉子	
15	00:00:25	ジャック・オー	おいしい煮玉子	
16	00:00:25	you k	おいしい煮玉子	
17	00:00:27	ヘンリーダーガー	おいしい煮玉子	
18	00:00:27	_ Die	おいしい煮玉子	
19	00:00:28	らうらう	​おいしい煮玉子	
20	00:00:30	ほるもん	おいしい煮玉子	
21	00:00:30	ゴギガガガギゴ	おいしい煮玉子	
22	00:00:32	にけい	おいしい煮玉子	
23	00:00:32	防人	おいしい煮玉子	
24	00:00:38	小さい胡麻塩	おいしい煮玉子	
25	00:00:39	ハヤブサb	おいしい煮玉子	
26	00:00:42	mk 95	おいしい煮玉子	
27	00:00:46	こみこ	おいしい煮玉子	
28	00:00:47	JUNY	よろしく	
29	00:00:47	究極ド根性ダイコン	おいしい煮玉子	
30	00:00:51	ジャック・オー	姉ちゃん寝起き？	
31	00:00:57	ヌルヌペペ	おいしい煮玉子	
32	00:01:05	K. u	おいしい煮玉子	
33	00:01:11	タケノコ男	おねむ	
34	00:01:12	motiyomogi	すでにおねむ	
35	00:01:14	ヘンリーダーガー	ふにゃふにゃしててかわいい	
36	00:01:17	つっちゃ!tv	わこ〜	
37	00:01:18	Ryo Kamiya	おいしい煮玉子	
38	00:01:19	らうらう	ねむいの	
39	00:01:22	D W	おいしいにたまご	
40	00:01:22	ジョナサン・グレーン	かわいい	
41	00:01:38	D W	眠いんすか？	
42	00:01:59	リフェ	なるほど	
43	00:02:12	究極ド根性ダイコン	剛健のために剥いたパックじゃないか！	
44	00:02:14	いぶきんぐ	おいしい煮玉子	
45	00:02:18	JUNY	お気持ち	
46	00:02:30	白黒	下段の文章がFF10-2になってるね エクゾビート組む？	
47	00:02:38	リフェ	ちょっと面倒くさいね	
48	00:02:48	こみこ	草	
49	00:02:53	スモーク	えぇ…	
50	00:02:55	JUNY	捨てないで…	
51	00:02:55	らうらう	ええ・・・	
52	00:02:55	いぶきんぐ	何その仕様…	
53	00:03:02	ジャック・オー	えぇ…	
54	00:03:04	ナウ	おいしい煮玉子	
55	00:03:09	つっちゃ!tv	姉ちゃん〜〜	
56	00:03:33	ひとーん	バトルシティにいっぱいカード落ちてるのは主人公の所為だった？…	
57	00:03:35	/霊司	昔ゴミ箱にカルボナーラ戦士捨てられてるの見た	
58	00:03:38	motiyomogi	たのしそう	
59	00:03:40	Fuzuki K	MTGみたいだな	
60	00:03:42	ねこくーる	おいしい煮玉子	
61	00:00:00	らうらう	おいしい煮玉子	
62	00:00:00	桜田紅	おいしい煮玉子	
63	00:00:00	リフェ	おいしい煮玉子	
64	00:00:00	スモーク	おいしい煮玉子	
65	00:00:00	むむめめ	おいしい煮玉子	
66	00:00:00	小さい胡麻塩	おいしい煮玉子	
67	00:00:00	九代目中山稲五朗	おいしい煮玉子	
68	00:00:00	T.のかね	おいしい煮玉子	
69	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
70	00:00:00	JUNY	おいしい煮玉子	
71	00:00:00	ひとーん	おいしい煮玉子	
72	00:00:19	リフェ	おいしい煮玉子	
73	00:00:22	motiyomogi	おいしい煮玉子	
74	00:00:22	タケノコ男	おいしい煮玉子	
75	00:00:23	なる	おいしい煮玉子	
76	00:00:25	ジャック・オー	おいしい煮玉子	
77	00:00:25	you k	おいしい煮玉子	
78	00:00:27	ヘンリーダーガー	おいしい煮玉子	
79	00:00:27	_ Die	おいしい煮玉子	
80	00:00:28	らうらう	​おいしい煮玉子	
81	00:00:30	ほるもん	おいしい煮玉子	
82	00:00:30	ゴギガガガギゴ	おいしい煮玉子	
83	00:00:32	にけい	おいしい煮玉子	
84	00:00:32	防人	おいしい煮玉子	
85	00:00:38	小さい胡麻塩	おいしい煮玉子	
86	00:00:39	ハヤブサb	おいしい煮玉子	
87	00:00:42	mk 95	おいしい煮玉子	
88	00:00:46	こみこ	おいしい煮玉子	
89	00:00:47	JUNY	よろしく	
90	00:00:47	究極ド根性ダイコン	おいしい煮玉子	
91	00:00:51	ジャック・オー	姉ちゃん寝起き？	
92	00:00:57	ヌルヌペペ	おいしい煮玉子	
93	00:01:05	K. u	おいしい煮玉子	
94	00:01:11	タケノコ男	おねむ	
95	00:01:12	motiyomogi	すでにおねむ	
96	00:01:14	ヘンリーダーガー	ふにゃふにゃしててかわいい	
97	00:01:17	つっちゃ!tv	わこ〜	
98	00:01:18	Ryo Kamiya	おいしい煮玉子	
99	00:01:19	らうらう	ねむいの	
100	00:01:22	D W	おいしいにたまご	
101	00:01:22	ジョナサン・グレーン	かわいい	
102	00:01:38	D W	眠いんすか？	
103	00:01:59	リフェ	なるほど	
