行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	周恩来	おいしい煮玉子	
1	00:00:00	内海柚	おいしい煮玉子	
2	00:00:15	eve 8848	おいしい煮玉子	
3	00:00:16	えび	おいしい煮玉子	
4	00:00:18	ほるもん	おにたまご	
5	00:00:18	周恩来	おいしい煮玉子	
6	00:00:18	近藤亮	おいしい煮玉子	
7	00:00:18	うぇいのる	おいしい煮玉子	
8	00:00:22	キタカシ	美味しい煮玉子	
9	00:00:22	ジョナサン・グレーン	おいしい煮玉子	
10	00:00:23	なんたら	おいしい煮玉子	
11	00:00:26	_ Tamaya	おいしい煮玉子	
12	00:00:28	タケノコ男	おいしい煮玉子	
13	00:00:30	八木谷	おいしい煮玉子	
14	00:00:31	内海柚	おいしい煮玉子	
15	00:00:34	カーマイン	おいしい煮玉子	
16	00:00:36	ねこくーる	おいしい煮玉子	
17	00:00:37	biggs	おいしい煮玉子	
18	00:00:38	aarar scsrt	おいしい煮玉子	
19	00:00:44	リフェ	おいしい煮玉子	
20	00:00:50	FFDD	おいしい煮玉子	
21	00:00:52	らうらう	おいしい煮玉子	
22	00:00:52	うぇいのる	音ない？	
23	00:00:53	スモーク	おいしい煮玉子	
24	00:00:57	近藤亮	声入ってない？	
25	00:00:58	なんたら	声が？	
26	00:01:04	eve 8848	声出てない？	
27	00:01:08	えび	聞こえない	
28	00:01:09	rM233g	おいしい煮玉子	
29	00:01:09	ジョナサン・グレーン	声が入ってないね…	
30	00:01:11	八木谷	かわいい	
31	00:01:11	らうらう	声がない～	
32	00:01:13	_ Die	おいしい煮玉子	
33	00:01:15	ねこくーる	おくちパクパク	
34	00:01:18	タケノコ男	かわいい	
35	00:01:19	らうらう	おくちぱくぱく	
36	00:01:20	ジョナサン・グレーン	かわいい	
37	00:01:23	カーマイン	かわいい	
38	00:01:23	なんたら	（声入ってないまじで）	
39	00:01:24	_ Die	まるで人魚姫ね	
40	00:01:26	リフェ	かわいい	
41	00:01:26	周恩来	かわいい	
42	00:01:27	らうらう	姉ちゃんがいっぱいいる！！	
43	00:01:27	ほるもん	でました	
44	00:01:29	近藤亮	かわいい	
45	00:01:29	八木谷	草	
46	00:01:31	バーチャルYouTuberガニメデちゃんねる	かわいい	
47	00:01:32	うぇいのる	おかえり	
48	00:01:32	aarar scsrt	おこえ	
49	00:01:35	汁汁煮汁	おいしい煮玉子	
50	00:01:36	デンキヒツジ	おいしい煮玉子	
51	00:01:37	らうらう	姉ちゃんが分身している！！	
52	00:00:00	周恩来	おいしい煮玉子	
53	00:00:00	内海柚	おいしい煮玉子	
54	00:00:15	eve 8848	おいしい煮玉子	
55	00:00:16	えび	おいしい煮玉子	
56	00:00:18	ほるもん	おにたまご	
57	00:00:18	周恩来	おいしい煮玉子	
58	00:00:18	近藤亮	おいしい煮玉子	
59	00:00:18	うぇいのる	おいしい煮玉子	
60	00:00:22	キタカシ	美味しい煮玉子	
61	00:00:22	ジョナサン・グレーン	おいしい煮玉子	
62	00:00:23	なんたら	おいしい煮玉子	
63	00:00:26	_ Tamaya	おいしい煮玉子	
64	00:00:28	タケノコ男	おいしい煮玉子	
65	00:00:30	八木谷	おいしい煮玉子	
66	00:00:31	内海柚	おいしい煮玉子	
67	00:00:34	カーマイン	おいしい煮玉子	
68	00:00:36	ねこくーる	おいしい煮玉子	
69	00:00:37	biggs	おいしい煮玉子	
70	00:00:38	aarar scsrt	おいしい煮玉子	
71	00:00:44	リフェ	おいしい煮玉子	
72	00:00:50	FFDD	おいしい煮玉子	
73	00:00:52	らうらう	おいしい煮玉子	
74	00:00:52	うぇいのる	音ない？	
75	00:00:53	スモーク	おいしい煮玉子	
76	00:00:57	近藤亮	声入ってない？	
77	00:00:58	なんたら	声が？	
78	00:01:04	eve 8848	声出てない？	
79	00:01:08	えび	聞こえない	
80	00:01:09	rM233g	おいしい煮玉子	
81	00:01:09	ジョナサン・グレーン	声が入ってないね…	
82	00:01:11	八木谷	かわいい	
83	00:01:11	らうらう	声がない～	
84	00:01:13	_ Die	おいしい煮玉子	
85	00:01:15	ねこくーる	おくちパクパク	
86	00:01:18	タケノコ男	かわいい	
87	00:01:19	らうらう	おくちぱくぱく	
88	00:01:20	ジョナサン・グレーン	かわいい	
89	00:01:23	カーマイン	かわいい	
90	00:01:23	なんたら	（声入ってないまじで）	
91	00:01:24	_ Die	まるで人魚姫ね	
92	00:01:26	リフェ	かわいい	
93	00:01:26	周恩来	かわいい	
94	00:01:27	らうらう	姉ちゃんがいっぱいいる！！	
95	00:01:27	ほるもん	でました	
96	00:01:29	近藤亮	かわいい	
97	00:01:29	八木谷	草	
98	00:01:31	バーチャルYouTuberガニメデちゃんねる	かわいい	
99	00:01:32	うぇいのる	おかえり	
100	00:01:32	aarar scsrt	おこえ	
101	00:01:35	汁汁煮汁	おいしい煮玉子	
102	00:01:36	デンキヒツジ	おいしい煮玉子	
103	00:01:37	らうらう	姉ちゃんが分身している！！	
104	00:01:50	aarar scsrt	おみず	
105	00:01:51	らうらう	おみず	
106	00:02:00	らうらう	姉ちゃん声が重複してるよ	
107	00:02:17	らうらう	草	
108	00:02:25	うぇいのる	体が柔らかいなぁ	
109	00:02:27	ジョナサン・グレーン	かわいい	
110	00:02:36	八木谷	かわいい	
111	00:02:37	eve 8848	今日Neuronくん調子悪いね...	
112	00:02:37	らうらう	かわいい	
113	00:02:45	なんたら	だぶってない	
114	00:02:51	八木谷	大丈夫そう	
115	00:02:53	ジョナサン・グレーン	大丈夫	
116	00:02:55	汁汁煮汁	声は大丈夫	
117	00:02:57	らうらう	かわいい	
