行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	motiyomogi	たのしみ	
1	00:00:00	竹輪	はーい	
2	00:00:00	HILO	スタンバイフェイズ	
3	00:00:00	ぷるるちゃん	レアカードに傷がついたわ！	
4	00:00:00	黄咲隼	おいしい煮玉子	
5	00:00:00	うぇいのる	おいしい煮玉子	
6	00:00:00	クゥの部屋 Ch	動画できた	
7	00:00:00	ジャック・オー	えらい	
8	00:00:00	にけい	えっ動画が	
9	00:00:00	HILO	えらい	
10	00:00:00	クゥの部屋 Ch	うわー	
11	00:00:00	クゥの部屋 Ch	準備しよ	
12	00:00:00	にけい	！？	
13	00:00:00	T.のかね	えらい	
14	00:00:00	桜田紅	えらい	
15	00:00:00	竹輪	えらい	
16	00:00:00	味付けタマゴ	えらい	
17	00:00:00	おさかな	えらい	
18	00:00:00	ホワイトラン衛兵	えらい	
19	00:00:00	小さい胡麻塩	えらい	
20	00:00:00	リフェ	えらい	
21	00:00:00	フレイムリンクス	えらい	
22	00:00:00	うぇいのる	えらい	
23	00:00:00	クロムア	えらい	
24	00:00:00	らうらう	動画！	
25	00:00:00	JUNY	えらい	
26	00:00:00	竹輪	かわいい	
27	00:00:00	ねこくーる	えらい	
28	00:00:00	ジョナサン・グレーン	えらい	
29	00:00:00	せせらぎ	動画だぁ！	
30	00:00:00	らうらう	草	
31	00:00:00	motiyomogi	えらい	
32	00:00:00	スモーク	動画！？	
33	00:00:00	_ Die	えらい	
34	00:00:00	らうらう	EDの謎ポーズすき	
35	00:00:00	黄咲隼	動画見たけど...どういう...ことだ...	
36	00:00:00	にけい	ほんとだ…動画きてる	
37	00:00:00	うぇいのる	ヴァレソかっこいい…	
38	00:00:00	ジャック・オー	何だか知らんがとにかくよし！	
39	00:00:00	竹輪	姉ちゃんかわいい	
40	00:00:00	biki koto	後で見よう…	
41	00:00:00	究極ド根性ダイコン	わかりやすい攻略動画だった	
42	00:00:00	八木谷	動画が来て草	
43	00:00:00	おさかな	なるほどなー	
44	00:00:00	HILO	動画良かった、EDの最後かわいい	
45	00:00:00	にけい	動画よかった	
46	00:00:00	小さい胡麻塩	為になった(正しい使い方)	
47	00:00:00	mori mori	棒読みかわいい・・・	
48	00:00:00	JUNY	よくわんないけどわかった	
49	00:00:00	biki koto	なるほど	
50	00:00:17	T.のかね	かわいい	
51	00:00:18	せせらぎ	！？	
52	00:00:18	seafood	おいしい煮玉子	
53	00:00:18	motiyomogi	おいしい煮玉子	
54	00:00:18	味付けタマゴ	おいしい煮玉子	
55	00:00:20	リフェ	おいしい煮玉子	
56	00:00:22	らうらう	！？！？	
57	00:00:22	うるし	スパイラルシェイバー	
58	00:00:22	ナウ	おいしい煮玉子	
59	00:00:22	JUNY	おいしい煮玉子	
60	00:00:22	天然ステルス	おいしい煮玉子	
61	00:00:23	にけい	スパイラルシェイバー	
62	00:00:24	ジョナサン・グレーン	スパイラルシェイバー！	
63	00:00:24	ジャック・オー	おいしい煮玉子	
64	00:00:25	らうらう	おいしい煮玉子	
65	00:00:25	カギカギ	かわいい	
66	00:00:26	黄咲隼	おいしい煮玉子	
67	00:00:26	ホワイトラン衛兵	おいしい煮玉子	
68	00:00:26	ねこくーる	こんばんは煮玉子	
69	00:00:27	mori mori	つよそう	
70	00:00:28	_ Die	おいしい煮玉子	
71	00:00:31	むらさきあんこ	武装してる！	
72	00:00:34	らうらう	邪魔そう	
73	00:00:36	おさかな	おいしい煮玉子	
74	00:00:36	ナウ	つよそう	
75	00:00:39	始祖くらげ	おいしい煮玉子	
76	00:00:41	ヘンリーダーガー	おいしい煮玉子	
77	00:00:41	ジャック・オー	　！​スパイラルシェイバー	
78	00:00:42	竹輪	おいしい煮玉子	
79	00:00:43	Ryo Kamiya	おいしい煮玉子	
80	00:00:43	ふぁる	おいしい煮玉子	
81	00:00:45	FFDD	おいしい煮玉子	
82	00:00:49	小さい胡麻塩	美味しい煮玉子	
83	00:00:50	うぇいのる	かっこいい	
84	00:00:53	究極ド根性ダイコン	おいしい鬼塚	
85	00:00:53	桜田紅	つよそう	
86	00:00:54	ヘンリーダーガー	かっこいい	
87	00:01:01	近藤大輔	格好いい槍ですね	
88	00:01:01	ジョナサン・グレーン	かっこいい	
89	00:01:12	biki koto	おいしい煮玉子	
90	00:01:13	mori mori	もう開始すれば遅刻じゃないまである	
91	00:01:36	フレイムリンクス	おいしい煮玉子、カード開放大変だよ姉ちゃん	
92	00:01:36	ぷるるちゃん	謎のランス	
93	00:01:39	ジョナサン・グレーン	強そう	
94	00:01:40	黄咲隼	リンクスと違って即サレで稼げるのね	
95	00:01:43	竹本カキフライ	鬼塚のサンドバッグ	
96	00:01:43	うるし	剛鬼デッキとか最強じゃん	
97	00:01:48	クラックリン	おいしい煮玉子	
98	00:01:49	うぇいのる	剛鬼デッキにヴァレルソード入れるだけで無双できそう	
99	00:01:50	究極ド根性ダイコン	UIが…UIが分かりづらい…！	
100	00:00:00	motiyomogi	たのしみ	
101	00:00:00	竹輪	はーい	
102	00:00:00	HILO	スタンバイフェイズ	
103	00:00:00	ぷるるちゃん	レアカードに傷がついたわ！	
104	00:00:00	黄咲隼	おいしい煮玉子	
105	00:00:00	うぇいのる	おいしい煮玉子	
106	00:00:00	クゥの部屋 Ch	動画できた	
107	00:00:00	ジャック・オー	えらい	
108	00:00:00	にけい	えっ動画が	
109	00:00:00	HILO	えらい	
110	00:00:00	クゥの部屋 Ch	うわー	
111	00:00:00	クゥの部屋 Ch	準備しよ	
112	00:00:00	にけい	！？	
113	00:00:00	T.のかね	えらい	
114	00:00:00	桜田紅	えらい	
115	00:00:00	竹輪	えらい	
116	00:00:00	味付けタマゴ	えらい	
117	00:00:00	おさかな	えらい	
118	00:00:00	ホワイトラン衛兵	えらい	
119	00:00:00	小さい胡麻塩	えらい	
120	00:00:00	リフェ	えらい	
121	00:00:00	フレイムリンクス	えらい	
122	00:00:00	うぇいのる	えらい	
123	00:00:00	クロムア	えらい	
124	00:00:00	らうらう	動画！	
125	00:00:00	JUNY	えらい	
126	00:00:00	竹輪	かわいい	
127	00:00:00	ねこくーる	えらい	
128	00:00:00	ジョナサン・グレーン	えらい	
129	00:00:00	せせらぎ	動画だぁ！	
130	00:00:00	らうらう	草	
131	00:00:00	motiyomogi	えらい	
132	00:00:00	スモーク	動画！？	
133	00:00:00	_ Die	えらい	
134	00:00:00	らうらう	EDの謎ポーズすき	
135	00:00:00	黄咲隼	動画見たけど...どういう...ことだ...	
136	00:00:00	にけい	ほんとだ…動画きてる	
137	00:00:00	うぇいのる	ヴァレソかっこいい…	
138	00:00:00	ジャック・オー	何だか知らんがとにかくよし！	
139	00:00:00	竹輪	姉ちゃんかわいい	
140	00:00:00	biki koto	後で見よう…	
141	00:00:00	究極ド根性ダイコン	わかりやすい攻略動画だった	
142	00:00:00	八木谷	動画が来て草	
143	00:00:00	おさかな	なるほどなー	
144	00:00:00	HILO	動画良かった、EDの最後かわいい	
145	00:00:00	にけい	動画よかった	
146	00:00:00	小さい胡麻塩	為になった(正しい使い方)	
147	00:00:00	mori mori	棒読みかわいい・・・	
148	00:00:00	JUNY	よくわんないけどわかった	
149	00:00:00	biki koto	なるほど	
150	00:00:17	T.のかね	かわいい	
151	00:00:18	せせらぎ	！？	
152	00:00:18	seafood	おいしい煮玉子	
153	00:00:18	motiyomogi	おいしい煮玉子	
154	00:00:18	味付けタマゴ	おいしい煮玉子	
155	00:00:20	リフェ	おいしい煮玉子	
156	00:00:22	らうらう	！？！？	
157	00:00:22	うるし	スパイラルシェイバー	
158	00:00:22	ナウ	おいしい煮玉子	
159	00:00:22	JUNY	おいしい煮玉子	
160	00:00:22	天然ステルス	おいしい煮玉子	
161	00:00:23	にけい	スパイラルシェイバー	
162	00:00:24	ジョナサン・グレーン	スパイラルシェイバー！	
163	00:00:24	ジャック・オー	おいしい煮玉子	
164	00:00:25	らうらう	おいしい煮玉子	
165	00:00:25	カギカギ	かわいい	
166	00:00:26	黄咲隼	おいしい煮玉子	
167	00:00:26	ホワイトラン衛兵	おいしい煮玉子	
168	00:00:26	ねこくーる	こんばんは煮玉子	
169	00:00:27	mori mori	つよそう	
170	00:00:28	_ Die	おいしい煮玉子	
171	00:00:31	むらさきあんこ	武装してる！	
172	00:00:34	らうらう	邪魔そう	
173	00:00:36	おさかな	おいしい煮玉子	
174	00:00:36	ナウ	つよそう	
175	00:00:39	始祖くらげ	おいしい煮玉子	
176	00:00:41	ヘンリーダーガー	おいしい煮玉子	
177	00:00:41	ジャック・オー	　！​スパイラルシェイバー	
178	00:00:42	竹輪	おいしい煮玉子	
