行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	なすこ	ダッシュ２～	
1	00:00:00	バリ島のサボテン	おいしい煮玉子	
2	00:00:00	なすこ	配信来たの２回目で煮玉子忘れてた・・・	
3	00:00:00	やよん	おいしい煮玉子	
4	00:00:00	えび	おいしい煮玉子	
5	00:00:00	岸辺一徳	おいしい煮玉子	
6	00:00:00	もっぃ	おいしい２玉子	
7	00:00:00	クロム	おいしい煮玉子～	
8	00:00:00	じょーげん	おいしい煮玉子	
9	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
10	00:00:00	あまいさい	おいしい煮玉子	
11	00:00:00	フレイムリンクス		￥120
12	00:00:10	かしわ10	おいしい煮玉子	
13	00:00:16	あい	おいしい煮玉子	
14	00:00:18	Nicotine Baker	hello im american	
15	00:00:19	ぼたん	おいたま	
16	00:00:21	のどあめ	おいしい煮玉子	
17	00:00:24	食べる小魚	下着じゃない…	
18	00:00:30	双葉ゆうま	おにたま～	
19	00:00:30	みよ	美味しい煮玉子は美味しい煮玉子であり美味しい煮玉子以外の何物でもない	
20	00:00:34	のりしろ	おいしい煮玉子	
21	00:00:34	ヌルヌペペ	おいしい煮玉子	
22	00:00:36	のどあめ	ぐるぐるしてる	
23	00:00:40	むらさきあんこ	おいしい煮玉子	
24	00:00:42	ジャック・オー	おいしい煮玉子	
25	00:00:43	미아린ミアリン	Hi~^-^	
26	00:00:43	スモーク	oitama!	
27	00:00:43	のどあめ	なおった	
28	00:00:45	potage10	服着てる・・・	
29	00:00:46	なすこ	美味しい似た孫	
30	00:00:47	ジュンペイ	おにたま〜	
31	00:00:51	いぶきんぐ	ゲーム画面が止まってる？	
32	00:00:52	鼻毛の錬金術師	ちょっと止まった	
33	00:00:56	N Yu	水着じゃないのか…( ˘•ω•˘ )	
34	00:00:59	みよ	あっ止まってるのゲーム画面だけか	
35	00:01:04	なまこ	止まってる	
36	00:01:05	食べる小魚	今大丈夫よ、ゲーム止まってるけど	
37	00:01:06	あまいさい	画面止まってる	
38	00:01:07	カーキ	ゲーム止まってる	
39	00:01:11	えび	声は聞こえるけどゲーム動いてない	
40	00:01:11	鼻毛の錬金術師	ロックが浮いとるw	
41	00:01:12	九尾桐岬	ゲーム画面だけ止まっています	
42	00:01:16	うぇいのる	ロック君凄い体勢だ	
43	00:01:19	ジャック・オー	どんな状態？	
44	00:01:20	畑秋	　　　	
45	00:01:25	タケノコ男	おいたま～	
46	00:01:28	ほるもん	かわいい	
47	00:01:32	Redmix	おいしい煮玉子	
48	00:01:33	もっぃ	テトリスみたいになってる	
49	00:01:36	Ami Saika	おいたま	
50	00:01:40	じょーげん	ガチ恋距離	
51	00:01:47	N Yu	おいしい煮卵	
52	00:01:49	あい	なぜか服着てる	
53	00:01:51	ぼたん	S時ブロックみたいだ	
54	00:01:52	なんたら	またヨガってる	
55	00:02:07	りこった	おはよー	
56	00:02:07	くりお	こんばん煮玉子〜	
57	00:02:13	食べる小魚	おおう	
58	00:02:18	なすこ	音だけきた	
59	00:02:19	_ Die	お	
60	00:02:22	メレンゲ	鼓膜がにたまご	
61	00:00:00	なすこ	ダッシュ２～	
62	00:00:00	バリ島のサボテン	おいしい煮玉子	
63	00:00:00	なすこ	配信来たの２回目で煮玉子忘れてた・・・	
64	00:00:00	やよん	おいしい煮玉子	
65	00:00:00	えび	おいしい煮玉子	
66	00:00:00	岸辺一徳	おいしい煮玉子	
67	00:00:00	もっぃ	おいしい２玉子	
68	00:00:00	クロム	おいしい煮玉子～	
69	00:00:00	じょーげん	おいしい煮玉子	
70	00:00:00	鼻毛の錬金術師	おいしい煮玉子	
71	00:00:00	あまいさい	おいしい煮玉子	
72	00:00:00	フレイムリンクス		￥120
73	00:00:10	かしわ10	おいしい煮玉子	
74	00:00:16	あい	おいしい煮玉子	
75	00:00:18	Nicotine Baker	hello im american	
76	00:00:19	ぼたん	おいたま	
77	00:00:21	のどあめ	おいしい煮玉子	
78	00:00:24	食べる小魚	下着じゃない…	
79	00:00:30	双葉ゆうま	おにたま～	
80	00:00:30	みよ	美味しい煮玉子は美味しい煮玉子であり美味しい煮玉子以外の何物でもない	
81	00:00:34	のりしろ	おいしい煮玉子	
82	00:00:34	ヌルヌペペ	おいしい煮玉子	
83	00:00:36	のどあめ	ぐるぐるしてる	
84	00:00:40	むらさきあんこ	おいしい煮玉子	
85	00:00:42	ジャック・オー	おいしい煮玉子	
86	00:00:43	미아린ミアリン	Hi~^-^	
87	00:00:43	スモーク	oitama!	
88	00:00:43	のどあめ	なおった	
89	00:00:45	potage10	服着てる・・・	
90	00:00:46	なすこ	美味しい似た孫	
91	00:00:47	ジュンペイ	おにたま〜	
92	00:00:51	いぶきんぐ	ゲーム画面が止まってる？	
93	00:00:52	鼻毛の錬金術師	ちょっと止まった	
94	00:00:56	N Yu	水着じゃないのか…( ˘•ω•˘ )	
95	00:00:59	みよ	あっ止まってるのゲーム画面だけか	
96	00:01:04	なまこ	止まってる	
97	00:01:05	食べる小魚	今大丈夫よ、ゲーム止まってるけど	
98	00:01:06	あまいさい	画面止まってる	
99	00:01:07	カーキ	ゲーム止まってる	
100	00:01:11	えび	声は聞こえるけどゲーム動いてない	
101	00:01:11	鼻毛の錬金術師	ロックが浮いとるw	
102	00:01:12	九尾桐岬	ゲーム画面だけ止まっています	
103	00:01:16	うぇいのる	ロック君凄い体勢だ	
104	00:01:19	ジャック・オー	どんな状態？	
105	00:01:20	畑秋	　　　	
106	00:01:25	タケノコ男	おいたま～	
107	00:01:28	ほるもん	かわいい	
108	00:01:32	Redmix	おいしい煮玉子	
109	00:01:33	もっぃ	テトリスみたいになってる	
110	00:01:36	Ami Saika	おいたま	
111	00:01:40	じょーげん	ガチ恋距離	
112	00:01:47	N Yu	おいしい煮卵	
113	00:01:49	あい	なぜか服着てる	
114	00:01:51	ぼたん	S時ブロックみたいだ	
115	00:01:52	なんたら	またヨガってる	
116	00:02:07	りこった	おはよー	
117	00:02:07	くりお	こんばん煮玉子〜	
118	00:02:13	食べる小魚	おおう	
119	00:02:18	なすこ	音だけきた	
120	00:02:19	_ Die	お	
121	00:02:22	メレンゲ	鼓膜がにたまご	
122	00:02:23	カーキ	音だけ来た	
123	00:02:31	ぼたん	音だけきたよー	
124	00:02:31	円筒形	美味しい煮玉子～	
125	00:02:31	らうらう	　	
126	00:02:31	ほるもん	こっちこっち	
127	00:02:33	食べる小魚	ディへへへ！	
128	00:02:34	なんたら	ｹﾞﾍﾍﾍｹﾞﾍﾍﾍ	
129	00:02:34	くりお	エヘヘへ	
130	00:02:34	鼻毛の錬金術師	えへへへえへへへ	
131	00:02:34	もっぃ	ﾃﾞﾍﾍﾍ	
132	00:02:36	なすこ	でへへへ	
133	00:02:40	タケノコ男	ｹﾞﾍﾍﾍ	
134	00:02:42	Ami Saika	ﾃﾞﾍﾍﾍ！	
135	00:02:42	のりしろ	姉ちゃんの声聞こえない	
136	00:02:44	食べる小魚	おーきたきた	
137	00:02:44	N Yu	音だけﾓｯﾁｮﾘｵ	
138	00:02:47	カーキ	画面北	
