行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	周恩来	おいしい煮玉子	
1	00:00:00	岸辺一徳	おいしい煮玉子	
2	00:00:00	竹輪	おいしい煮玉子	
3	00:00:00	えび	おいしい煮玉子	
4	00:00:00	らうらう	おいしい煮玉子	
5	00:00:00	竹本カキフライ	おいたま～	
6	00:00:00	せせらぎ	ダチョウの煮玉子	
7	00:00:00	ほるもん	おいしい煮玉子	
8	00:00:00	_ Die	おいしい煮玉子	
9	00:00:00	近藤大輔	だちょたま～	
10	00:00:00	スモーク	おいたま！	
11	00:00:00	近藤亮	おいしい煮玉子	
12	00:00:00	タケノコ男	おいしい煮玉子	
13	00:00:00	めるカバ	おいしい煮玉子	
14	00:00:00	宮城流	おいしい煮玉子	
15	00:00:00	うぇいのる	おいしい煮玉子	
16	00:00:00	ブロア	おいしい煮玉子	
17	00:00:00	岸辺一徳	GLAYのテルなら仕方ない	
18	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
19	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
20	00:00:00	周恩来		￥100
21	00:00:23	ジュンペイ	ダチョウの煮玉子	
22	00:00:25	岸辺一徳	おいしい煮玉子	
23	00:00:25	あい	おいしい煮玉子	
24	00:00:25	周恩来	おいしい煮玉子	
25	00:00:28	むらさきあんこ	おいしい煮玉子	
26	00:00:30	mori mori	おはよ姉	
27	00:00:30	えび	おいたま～	
28	00:00:31	ほるもん	おいしい煮玉子	
29	00:00:32	いぶきんぐ	おいしい煮玉子	
30	00:00:32	eve	おいしい煮玉子	
31	00:00:32	ヌルヌペペ	おいしい煮玉子	
32	00:00:33	ジョナサン・グレーン	おいしい煮玉子	
33	00:00:34	近藤亮	おいしい味玉	
34	00:00:35	竹輪	おいたま〜！	
35	00:00:36	_ Die	おいしい煮玉子	
36	00:00:38	バリ島のサボテン	おいしい煮玉子	
37	00:00:38	ブロア	おいしい煮玉子	
38	00:00:39	タケノコ男	おいしい煮玉子	
39	00:00:42	らうらう	おいしい煮玉子	
40	00:00:46	ねこくーる	おいしい煮玉子	
41	00:00:48	究極ド根性ダイコン	おいしい煮玉子	
42	00:00:56	aru ku	おいしい煮玉子～	
43	00:00:56	タチャンカ	おいしい煮玉子	
44	00:00:56	めるカバ	おいしい煮玉子	
45	00:00:58	助六	おいしい煮玉子ー	
46	00:01:00	松本幸四郎	ダチョウの煮玉子～	
47	00:01:01	うぇいのる	おいしい煮玉子	
48	00:01:06	あい	よく使ってたよ	
49	00:01:09	周恩来	D端子派だったわ	
50	00:01:09	宮城流	おいしい煮玉子	
51	00:01:15	竹輪	ナンデダロウネ	
52	00:01:15	nuwan nuwano	美味しい煮玉子	
53	00:01:18	mori mori	あれ何のために存在するのか知らないで使ってる	
54	00:01:18	竹本カキフライ	今日はフリーズしないといいね	
55	00:01:18	近藤亮	義務教育で使うよね	
56	00:01:20	ジョナサン・グレーン	おいしいAV端子	
57	00:01:24	助六	今回の6月9日はずいぶん早かったなー	
58	00:01:42	かたもく	大きい煮卵ー	
59	00:01:53	ルビくん	初見です！	
60	00:01:58	mori mori	姉ちゃんデータ吹っ飛ばすの好きね	
61	00:02:03	ジョナサン・グレーン	かなしみ	
62	00:02:04	あい	パー	
63	00:02:05	せせらぎ	ダチョウの煮玉子	
64	00:02:19	近藤亮	かわいい	
65	00:02:21	めるカバ	かわいい	
66	00:02:25	らうらう	サルゥ	
67	00:02:27	タケノコ男	サクサクいけるやろなぁ	
68	00:02:30	ジョナサン・グレーン	ウッキー！	
69	00:02:30	竹本カキフライ	RTAだな！	
70	00:00:00	周恩来	おいしい煮玉子	
71	00:00:00	岸辺一徳	おいしい煮玉子	
72	00:00:00	竹輪	おいしい煮玉子	
73	00:00:00	えび	おいしい煮玉子	
74	00:00:00	らうらう	おいしい煮玉子	
75	00:00:00	竹本カキフライ	おいたま～	
76	00:00:00	せせらぎ	ダチョウの煮玉子	
77	00:00:00	ほるもん	おいしい煮玉子	
78	00:00:00	_ Die	おいしい煮玉子	
79	00:00:00	近藤大輔	だちょたま～	
80	00:00:00	スモーク	おいたま！	
81	00:00:00	近藤亮	おいしい煮玉子	
82	00:00:00	タケノコ男	おいしい煮玉子	
83	00:00:00	めるカバ	おいしい煮玉子	
84	00:00:00	宮城流	おいしい煮玉子	
85	00:00:00	うぇいのる	おいしい煮玉子	
86	00:00:00	ブロア	おいしい煮玉子	
87	00:00:00	岸辺一徳	GLAYのテルなら仕方ない	
88	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
89	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
90	00:00:00	周恩来		￥100
91	00:00:23	ジュンペイ	ダチョウの煮玉子	
92	00:00:25	岸辺一徳	おいしい煮玉子	
93	00:00:25	あい	おいしい煮玉子	
94	00:00:25	周恩来	おいしい煮玉子	
95	00:00:28	むらさきあんこ	おいしい煮玉子	
96	00:00:30	mori mori	おはよ姉	
97	00:00:30	えび	おいたま～	
98	00:00:31	ほるもん	おいしい煮玉子	
99	00:00:32	いぶきんぐ	おいしい煮玉子	
100	00:00:32	eve	おいしい煮玉子	
101	00:00:32	ヌルヌペペ	おいしい煮玉子	
102	00:00:33	ジョナサン・グレーン	おいしい煮玉子	
103	00:00:34	近藤亮	おいしい味玉	
104	00:00:35	竹輪	おいたま〜！	
105	00:00:36	_ Die	おいしい煮玉子	
106	00:00:38	バリ島のサボテン	おいしい煮玉子	
107	00:00:38	ブロア	おいしい煮玉子	
108	00:00:39	タケノコ男	おいしい煮玉子	
109	00:00:42	らうらう	おいしい煮玉子	
110	00:00:46	ねこくーる	おいしい煮玉子	
111	00:00:48	究極ド根性ダイコン	おいしい煮玉子	
112	00:00:56	aru ku	おいしい煮玉子～	
113	00:00:56	タチャンカ	おいしい煮玉子	
114	00:00:56	めるカバ	おいしい煮玉子	
115	00:00:58	助六	おいしい煮玉子ー	
116	00:01:00	松本幸四郎	ダチョウの煮玉子～	
117	00:01:01	うぇいのる	おいしい煮玉子	
118	00:01:06	あい	よく使ってたよ	
119	00:01:09	周恩来	D端子派だったわ	
120	00:01:09	宮城流	おいしい煮玉子	
121	00:01:15	竹輪	ナンデダロウネ	
122	00:01:15	nuwan nuwano	美味しい煮玉子	
123	00:01:18	mori mori	あれ何のために存在するのか知らないで使ってる	
124	00:01:18	竹本カキフライ	今日はフリーズしないといいね	
125	00:01:18	近藤亮	義務教育で使うよね	
126	00:01:20	ジョナサン・グレーン	おいしいAV端子	
127	00:01:24	助六	今回の6月9日はずいぶん早かったなー	
128	00:01:42	かたもく	大きい煮卵ー	
129	00:01:53	ルビくん	初見です！	
130	00:01:58	mori mori	姉ちゃんデータ吹っ飛ばすの好きね	
131	00:02:03	ジョナサン・グレーン	かなしみ	
132	00:02:04	あい	パー	
133	00:02:05	せせらぎ	ダチョウの煮玉子	
134	00:02:19	近藤亮	かわいい	
135	00:02:21	めるカバ	かわいい	
136	00:02:25	らうらう	サルゥ	
137	00:02:27	タケノコ男	サクサクいけるやろなぁ	
138	00:02:30	ジョナサン・グレーン	ウッキー！	
139	00:02:30	竹本カキフライ	RTAだな！	
140	00:02:48	究極ド根性ダイコン	大井成井さん	
141	00:03:03	松本幸四郎	わかりやすい	
142	00:03:13	ジョナサン・グレーン	ロールちゃん好き	
143	00:03:16	いぶきんぐ	DASH2が今度は問題なく動きますように	￥2,000
144	00:03:25	あざーら	kawaii	
145	00:04:03	あい	入ってるよ	
146	00:04:03	えび	音入ってるー	
147	00:04:04	タケノコ男	聞こえてます	
148	00:04:05	岸辺一徳	聞こえてる	
149	00:04:10	mori mori	小さいよ	
150	00:04:11	あざーら	音はいってます	
151	00:04:22	竹本カキフライ	厚着短パンいいよね	
152	00:04:35	ジョナサン・グレーン	聞こえるけど若干音小さい感じするね	
153	00:04:45	Fuzuki K	ダチョウの煮玉子	
154	00:04:59	のどあめ	ダチョウの煮玉子	
155	00:05:03	周恩来	いい感じ	
156	00:05:07	あざーら	よく聞こえる	
157	00:05:15	岸辺一徳	ちょうどいい……	
158	00:05:23	周恩来	いつもの	
159	00:05:27	岸辺一徳	鬼がおる	
160	00:05:29	伏葦たぐい	おいたま	
161	00:05:30	ジョナサン・グレーン	ごめんね、ロックの装備、全部売っちゃった❤️	
162	00:05:31	あい	全部売っちゃった！	
163	00:05:32	究極ド根性ダイコン	いつもの畜生発言	
164	00:05:34	タケノコ男	ひどい	
165	00:05:35	むらさきあんこ	はい…	
166	00:05:36	Fuzuki K	ダチョウの玉子で卵かけご飯やってほしい	
167	00:05:36	めるカバ	でた！	
168	00:05:37	らうらう	こいつ	
169	00:05:40	竹本カキフライ	売っちゃった！	
170	00:06:08	えび	ローポリで横顔は大変	
171	00:06:12	あざーら	装備は売るが消火器は売らない	
172	00:06:13	Fuzuki K	バーチャルからの厳しい指摘	
173	00:06:35	ねこくーる	手際がいい	
174	00:06:38	nokonokoasyu	DASHとかラクガキ王国みたいなCGも好きよ	
175	00:06:47	mori mori	割と大惨事で草	
176	00:06:51	松本幸四郎	寝起きかわいい	
177	00:06:54	ブロア	かわいい	
178	00:06:54	タケノコ男	寝起きかわいい	
179	00:06:54	周恩来	ダウナー姉ちゃんかわいい	
180	00:07:01	Fuzuki K	まるで何度もプレイしたような手際のよさだなあ	
181	00:07:01	らうらう	ちゃんと寝たの	
182	00:07:04	えび	声も寝起きっぽくてかわいい	
183	00:07:04	近藤亮	ねむねむ姉ちゃんかわいい	
184	00:07:10	ジョナサン・グレーン	寝起き姉ちゃんかわいい	
185	00:07:13	究極ド根性ダイコン	姉ちゃん手慣れてるね	
186	00:07:26	岸辺一徳	寝起き声姉ちゃんかわいいよね	
187	00:07:39	木之本兄P	どーも まるで初見じゃないような動きですね	
188	00:07:44	Fuzuki K	姉ちゃんはいつだってかわいいよな……	
189	00:07:57	ジョナサン・グレーン	かわいい	
190	00:08:09	らうらう	草	
191	00:08:10	竹本カキフライ	ｳｪｱｧｰ↑	
192	00:08:13	あざーら	草	
193	00:08:13	さんぽーる祐三	ピカカス	
194	00:08:15	めるカバ	クソ猿ゥ！	
195	00:08:19	うぇいのる	サルゥ！	
196	00:08:19	周恩来	草	
197	00:08:20	ジョナサン・グレーン	火消してやれよ！	
198	00:08:22	木之本兄P	草	
199	00:08:22	ブロア	ウェーイ！ロックゥー！	
200	00:08:22	竹輪	明らかに攻撃してきて草	
201	00:08:24	岸辺一徳	草	
202	00:08:26	竹本カキフライ	こいつ	
203	00:08:26	nokonokoasyu	なんて手際の良さだ…	
204	00:08:26	タケノコ男	猿さぁ...	
