行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	八木谷	お疲れ様でした～	
1	00:00:00	小さい胡麻塩	おつかれ様でした	
2	00:00:00	ジャック・オー	おいしい煮玉子　	
3	00:00:00	桜田紅	おいしい煮玉子	
4	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
5	00:00:00	竹輪	おいしい煮玉子	
6	00:00:00	リフェ	おいしい煮玉子	
7	00:00:00	スモーク	おいしい煮玉子	
8	00:00:00	カギカギ	おいしい煮玉子	
9	00:00:00	らうらう	​おいしい煮玉子	
10	00:00:00	ミワタリ	おいしい煮玉子	
11	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
12	00:00:00	いぶきんぐ	間に合った…おいしい煮玉子	
13	00:00:00	T.のかね	いしい煮玉子	
14	00:00:00	seafood	おいしい煮玉子	
15	00:00:00	ナウ	おいしい煮玉子	
16	00:00:23	パンセポンセ	おいしい煮玉子	
17	00:00:28	motiyomogi	おいしい煮玉子	
18	00:00:29	らうらう	おいしい煮玉子	
19	00:00:30	ホワイトラン衛兵	おいしい煮玉子	
20	00:00:33	なんたら	おいしい煮玉子	
21	00:00:33	ジャック・オー	おいしい煮玉子	
22	00:00:34	ジョナサン・グレーン	おいしい煮玉子	
23	00:00:35	カギカギ	おいしい煮玉子	
24	00:00:37	リフェ	おいしい煮玉子	
25	00:00:40	ミワタリ	おいしい煮玉子	
26	00:00:43	ゼッケン100	おいしい煮玉子	
27	00:00:44	マイフェイバリットトリビアン	おいしい煮玉子	
28	00:00:48	掛蕎麦	おいしい煮玉子	
29	00:00:49	デンキヒツジ	おいしい煮玉子。	
30	00:00:52	JUNY	おいしい煮玉子	
31	00:00:55	竹輪	おいしい煮玉子	
32	00:00:55	らうらう	予感	
33	00:01:15	カギカギ	hoi!!	
34	00:01:16	リフェ	おーなるほど	
35	00:01:21	ジャック・オー	ゾーパー家の見込み時間は…	
36	00:01:26	やなぎかげ	おいしい煮玉子	
37	00:01:34	竹輪	へー	
38	00:01:36	motiyomogi	すごい	
39	00:01:49	ゼッケン100	Boothとかみたいな	
40	00:01:51	ホワイトラン衛兵	えらい	
41	00:01:52	らうらう	えらい	
42	00:01:52	竹輪	えらい	
43	00:01:53	ナウ	今１ドルいくら？	
44	00:01:55	いぶきんぐ	2ドル	
45	00:01:58	カギカギ	えらい	
