行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	おいしい煮玉子	
1	00:00:00	リフェ	おいしい煮玉子	
2	00:00:00	ジャック・オー	おいしい煮玉子　	
3	00:00:00	カギカギ	おいしい煮玉子	
4	00:00:00	パンセポンセ	おいしい煮玉子	
5	00:00:00	究極ド根性ダイコン	おいしい煮玉子	
6	00:00:00	竹輪	おいしい煮玉子	
7	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
8	00:00:00	スモーク	おいしい煮玉子	
9	00:00:00	じょーげん	おいしい煮玉子	
10	00:00:00	近藤亮	おいしい煮玉子	
11	00:00:00	りあすて	おいしい煮玉子	
12	00:00:00	竹輪	ルゥ姉ちゃんどこ…	
13	00:00:00	T.のかね	おいしい煮玉子	
14	00:00:00	らうらう	　💦	
15	00:00:00	ジョナサン・グレーン	大姉ちゃんどこ…	
16	00:00:15	motiyomogi	おいしい煮玉子	
17	00:00:16	seafood	おいしい煮玉子	
18	00:00:19	カギカギ	おいしい煮玉子	
19	00:00:19	リフェ	おいしい煮玉子	
20	00:00:22	小さい胡麻塩	美味しい煮玉子	
21	00:00:23	ジャック・オー	おいしい煮玉子	
22	00:00:25	パンセポンセ	おいしい煮玉子	
23	00:00:27	りあすて	おいしい煮玉子	
24	00:00:31	竹輪	おいしい煮玉子	
25	00:00:34	にけい	おいしい煮玉子	
26	00:00:40	スモーク	燃えなかった村から	
27	00:00:40	りあすて	ミリィの名前確認了解	
28	00:00:40	らうらう	おいしい煮玉子	
29	00:00:46	ホワイトラン衛兵	おいしい煮玉子	
30	00:00:47	リフェ	故郷が焼かれなかった…	
31	00:00:50	八木谷	おいしい煮玉子	
32	00:00:55	竹輪	あらすじ分かりやすい	
33	00:00:56	Ryo Kamiya	おいしい煮玉子	
34	00:01:13	いぶきんぐ	おいしい煮玉子	
35	00:01:27	ジャック・オー	今日こそ故郷焼けるかな	
36	00:01:30	らうらう	ねむみは？	
37	00:01:35	motiyomogi	草	
