行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ぽぼす	おつでした	
1	00:00:00	N W	お疲れ様です	
2	00:00:00	くら	お疲れ煮玉子～	
3	00:00:00	ナウ	クリアできるもんだなあ	
4	00:00:00	ゆおた	今起きたらクリアしてた、おめ＆お疲れ様でした	
5	00:00:00	味付けタマゴ	おいしい煮玉子	
6	00:00:00	3K VC	懐かしくて見入ってしまった	
7	00:00:00	天然ステルス	おいしい煮玉子	
8	00:00:00	JUNY	おいしい煮玉子	
9	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
10	00:00:00	スモーク	おいしい煮玉子	
11	00:00:00	ふーばー	​おいしい煮玉子	
12	00:00:00	ヌルヌペペ	おいしい煮玉子	
13	00:00:00	弐号。あくじき	おいしい煮玉子	
14	00:00:00	リフェ	おいしい煮玉子	
15	00:00:00	いぶきんぐ	おいしい煮玉子	
16	00:00:00	カギアカギ	おいしい煮玉子	
17	00:00:00	ゆおた	おいしい煮玉子	
18	00:00:00	岸辺一徳	おいしい煮玉子	
19	00:00:00	カーマイン	おいしい煮玉子	
20	00:00:00	なんたら	登録済み 1.1万	
21	00:00:00	じょーげん	おいしい煮玉子	
22	00:00:00	らうらう	おいしい煮玉子	
23	00:00:00	_ Die	おいしい煮玉子	
24	00:00:00	パンセポンセ	おいしい煮玉子	
25	00:00:00	竹輪	おいたまー	
26	00:00:00	eve	おいしい煮玉子	
27	00:00:00	ログ	おいしい煮玉子	
28	00:00:13	らうらう	​おいしい煮玉子	
29	00:00:15	ホワイトラン衛兵	おいしい煮玉子	
30	00:00:16	seafood	おいしい煮玉子	
31	00:00:16	八木谷	おいしい煮玉子	
32	00:00:16	いぶきんぐ	おいしい煮玉子	
33	00:00:17	なんたら	おいしい煮玉子	
34	00:00:17	岸辺一徳	おいしい煮玉子	
35	00:00:18	弐号。あくじき	おいたまー	
36	00:00:18	タケノコ男	おいしい煮玉子	
37	00:00:19	K. u	おいしい煮玉子	
38	00:00:19	リフェ	おいしい煮玉子	
39	00:00:19	motiyomogi	おいしい煮玉子	
40	00:00:20	カギアカギ	おいしい煮玉子	
41	00:00:23	ミワタリ	おいしい煮玉子	
42	00:00:26	sio3go	おいしい煮玉子	
43	00:00:27	カーマイン	おいしい煮玉子	
44	00:00:28	ヌルヌペペ	おいしい煮玉子	
45	00:00:30	JUNY	おいしい煮玉子	
46	00:00:31	なる	おいしい煮玉子	
47	00:00:33	竹輪	おいしい煮玉子〜	
48	00:00:34	_ Die	おいしい煮玉子	
49	00:00:37	行方不明	おいしい煮玉子	
50	00:00:38	ふーばー	​おいしい煮玉子	
51	00:00:40	じょーげん	おいしい煮玉子	
52	00:00:40	biggs	おいしい煮玉子	
53	00:00:40	にけい	おいしい煮玉子	
54	00:00:41	くーねる	おいしい煮玉子	
55	00:00:41	海東純一	おいしい煮玉子	
56	00:00:44	拡散の尖兵	おいしい煮玉子	
57	00:00:44	りあすて	おいしい煮玉子	
58	00:00:44	あかまたなざき	おいしい煮玉子	
59	00:00:45	クロム	おいしい煮玉子	
60	00:00:49	むらさきあんこ	おいしい煮玉子	
61	00:00:54	白銀ユリア	おいしい煮玉子	
62	00:00:58	レコ	おいしい煮玉子	
63	00:01:04	JUNY	嗚呼…	
64	00:01:06	らうらう	？	
65	00:01:06	カーマイン	疲れはどう？	
66	00:01:07	ゆるふわ院	おいしい煮玉子	
67	00:01:11	ネトゲ妖精	おいしい煮卵	
68	00:01:12	味付けタマゴ	おいしい煮玉子	
69	00:01:14	D W	美味しい煮玉子	
70	00:01:23	りあすて	脳内麻薬が出ている	
71	00:01:29	竹輪	すごい…	
72	00:01:34	もっけいChannel	水分とって	
73	00:01:41	りあすて	やば過ぎる	
74	00:01:41	LINO HIKA	ひぇ…	
75	00:01:43	なんたら	17時かあ…	
76	00:01:45	究極ド根性ダイコン	やれるかな…	
77	00:01:49	竹輪	草	
78	00:00:00	ぽぼす	おつでした	
79	00:00:00	N W	お疲れ様です	
80	00:00:00	くら	お疲れ煮玉子～	
81	00:00:00	ナウ	クリアできるもんだなあ	
82	00:00:00	ゆおた	今起きたらクリアしてた、おめ＆お疲れ様でした	
83	00:00:00	味付けタマゴ	おいしい煮玉子	
84	00:00:00	3K VC	懐かしくて見入ってしまった	
85	00:00:00	天然ステルス	おいしい煮玉子	
86	00:00:00	JUNY	おいしい煮玉子	
87	00:00:00	ホワイトラン衛兵	おいしい煮玉子	
88	00:00:00	スモーク	おいしい煮玉子	
89	00:00:00	ふーばー	​おいしい煮玉子	
90	00:00:00	ヌルヌペペ	おいしい煮玉子	
91	00:00:00	弐号。あくじき	おいしい煮玉子	
92	00:00:00	リフェ	おいしい煮玉子	
93	00:00:00	いぶきんぐ	おいしい煮玉子	
94	00:00:00	カギアカギ	おいしい煮玉子	
95	00:00:00	ゆおた	おいしい煮玉子	
96	00:00:00	岸辺一徳	おいしい煮玉子	
97	00:00:00	カーマイン	おいしい煮玉子	
98	00:00:00	なんたら	登録済み 1.1万	
99	00:00:00	じょーげん	おいしい煮玉子	
100	00:00:00	らうらう	おいしい煮玉子	
101	00:00:00	_ Die	おいしい煮玉子	
102	00:00:00	パンセポンセ	おいしい煮玉子	
103	00:00:00	竹輪	おいたまー	
104	00:00:00	eve	おいしい煮玉子	
105	00:00:00	ログ	おいしい煮玉子	
106	00:00:13	らうらう	​おいしい煮玉子	
107	00:00:15	ホワイトラン衛兵	おいしい煮玉子	
108	00:00:16	seafood	おいしい煮玉子	
109	00:00:16	八木谷	おいしい煮玉子	
110	00:00:16	いぶきんぐ	おいしい煮玉子	
111	00:00:17	なんたら	おいしい煮玉子	
112	00:00:17	岸辺一徳	おいしい煮玉子	
113	00:00:18	弐号。あくじき	おいたまー	
114	00:00:18	タケノコ男	おいしい煮玉子	
115	00:00:19	K. u	おいしい煮玉子	
116	00:00:19	リフェ	おいしい煮玉子	
117	00:00:19	motiyomogi	おいしい煮玉子	
118	00:00:20	カギアカギ	おいしい煮玉子	
119	00:00:23	ミワタリ	おいしい煮玉子	
120	00:00:26	sio3go	おいしい煮玉子	
121	00:00:27	カーマイン	おいしい煮玉子	
122	00:00:28	ヌルヌペペ	おいしい煮玉子	
123	00:00:30	JUNY	おいしい煮玉子	
124	00:00:31	なる	おいしい煮玉子	
125	00:00:33	竹輪	おいしい煮玉子〜	
126	00:00:34	_ Die	おいしい煮玉子	
