行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	畑秋	　おいしい煮玉子　	
1	00:00:00	えび	おいしいフォー	
2	00:00:00	畑秋	フォーってラーメンと違うの？	
3	00:00:00	スモーク	おいしい煮玉子	
4	00:00:00	岸辺一徳	おいしい煮玉子	
5	00:00:00	_ Die	おいしい煮玉子	
6	00:00:00	catblepas	おいしい煮玉子	
7	00:00:00	スモーク	ビーフン的な麺なのかな	
8	00:00:00	JUNY	フォーはお米の麺	
9	00:00:00	バッファバルク	おいしい煮玉子	
10	00:00:00	ni nai	おいしい煮玉子	
11	00:00:00	天然ステルス	おいしい煮玉子	
12	00:00:00	畑秋	なるほど	
13	00:00:00	ルナ	おいしい煮玉子	
14	00:00:00	eve	おいしい煮玉子	
15	00:00:00	らうらう	おいしいフォー	
16	00:00:00	カギアカギ	おいしい煮玉子	
17	00:00:00	eve	ベトナムの料理だっけ	
18	00:00:00	岸辺一徳	フォーの麺はおこめでつくるのよ	
19	00:00:00	いぶきんぐ	おいしい煮玉子	
20	00:00:00	ふーばー	おいしい煮玉子	
21	00:00:00	袖口	おいしい煮玉子	
22	00:00:00	匿名希望	姉ちゃんのリンダキューブ楽しみだ	
23	00:00:00	ほるもん	おいしい煮玉子	
24	00:00:00	ヘンリーダーガー	おいしい煮玉子	
25	00:00:00	畑秋	🍜🍜🍜	
26	00:00:00	畑秋	🍴🍴🍴	
27	00:00:00	八木谷	おいしい🍝	
28	00:00:00	らうらう	フォーにもめんみいれてんのかな	
29	00:00:11	伝助鏑木	リンダキューブ懐かしいなぁ。今じゃ絶対規制かかりそうなゲーム…	
30	00:00:17	岸辺一徳	おいしい煮玉子	
31	00:00:18	えび	おいしい煮玉子	
32	00:00:19	ほるもん	おいしい煮玉子	
33	00:00:24	キタカシ	おいしいインストール	
34	00:00:26	_ Die	おいしい煮玉子	
35	00:00:26	eve	おいしい煮玉子	
36	00:00:26	天然ステルス	インストール中	
37	00:00:26	mori mori	おいしい煮玉子おいしい煮玉子おいしい煮玉子	
38	00:00:27	あい	おいしい煮玉子	
39	00:00:27	JUNY	おいしい煮玉子	
40	00:00:28	いぶきんぐ	おいしい煮玉子	
41	00:00:28	むらさきあんこ	おいしい煮玉子	
42	00:00:28	ホワイトラン衛兵	おいしい煮玉子	
43	00:00:28	ふーばー	おいしい煮玉子	
44	00:00:28	らうらう	おいしい煮玉子	
45	00:00:29	タケノコ男	おいしい煮玉子	
46	00:00:31	のなちき	おいしい煮玉子	
47	00:00:31	防波亭土左衛門	おいしい煮玉子	
48	00:00:32	くーねる	おいたま〜	
49	00:00:32	らうらう	インストール配信だああああ	
50	00:00:33	ラルエメ	おいしい煮玉子	
51	00:00:34	Clacklin/クラックリン	おいしい煮玉子	
52	00:00:34	ジャック・オー	おいしい煮玉子	
53	00:00:37	ラチェット	おいしい煮玉子	
54	00:00:39	mori mori	草	
55	00:00:40	八木谷	おいしい煮玉子	
56	00:00:40	らうらう	はなそ	
57	00:00:43	ほるもん	クリスマス	
58	00:00:43	リフェ	おいしい煮玉子	
59	00:00:43	畑秋	​おいしい煮玉子	
60	00:00:47	ニャンコ先生	クリスマス配信だぁぁぁ	
