行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	たんこぶ	シースー	
1	00:00:00	八木谷	呪いにKBTは勝てるのか	
2	00:00:00	鼻毛の錬金術師	シース派とスーシ派が…	
3	00:00:00	さんぽーる祐三	トロコンした俺がいうんだゾ。スーシーだゾ！俺は詳しいだ	
4	00:00:00	鼻毛の錬金術師	最後に伸ばし棒つく派と付かない派がいる	
5	00:00:00	究極ド根性ダイコン	じゃあ間を取ってスージーで	
6	00:00:00	鼻毛の錬金術師	スージーQ	
7	00:00:00	あまいさい	ダクソいつぶりだっけ	
8	00:00:00	岸辺一徳	orz	
9	00:00:00	tage	呪いのスージー	
10	00:00:00	周恩来	orz	
11	00:00:00	さんぽーる祐三	白竜スージー	
12	00:00:00	周恩来	スージー教徒	
13	00:00:00	ふーばー	操作覚えてるかな...	
14	00:00:00	鼻毛の錬金術師	書き換えられた！？	
15	00:00:00	らうらう	JCの記憶力を信じろ	
16	00:00:00	さんぽーる祐三	シースなんだよなぁ・・	
17	00:00:00	あまいさい	シースーかー	
18	00:00:00	八木谷	業界人姉ちゃん	
19	00:00:00	鼻毛の錬金術師	スージーってなんだったんだ…	
20	00:00:00	たんこぶ	いや、合ってるな！	
21	00:00:00	ふーばー	ソダクでシースー狩りいっちゃう～？	
22	00:00:00	らうらう	遅刻記録更新じゃね？？？	
23	00:00:00	aru ku	おいしい煮玉子～	
24	00:00:00	Dwi Mulyo Sutanto	英名のSeath the Scalelessって呼ぶとイカすね！	
25	00:00:00	biggs	おいしい煮玉子ー	
26	00:00:00	岸辺一徳	時間道理だ！ >まもなくライブが始まります 13:30	
27	00:00:00	えび	おいしいシースー	
28	00:00:00	鼻毛の錬金術師	前は最長何分だったんですか？	
29	00:00:00	ジャック・オー	おいしい煮玉子背負い	
30	00:00:00	aru ku	KooFranZoparを待っています	
31	00:00:00	らうらう	歴史修正はいってた	
32	00:00:00	岸辺一徳	これがクロノトリガー……これがアカシックレコード……！	
33	00:00:00	せせらぎ	ちょっと時間を勘違いしていたようだ	
34	00:00:00	じょーげん	まぁちょっと時差あるから	
35	00:00:00	鼻毛の錬金術師	あれロックマンDAS…ｳｯ頭が	
36	00:00:00	周恩来	時差！時差です！	
37	00:00:00	岸辺一徳	ラグならしかたないね	
38	00:00:00	鼻毛の錬金術師	どうやら時計の設定間違ってたらしい	
39	00:00:00	フレイムリンクス	美味しい煮玉子～、久しぶりのダクソ	
40	00:00:00	マーズ	えらく陰気なDASH2だ	
41	00:00:00	究極ド根性ダイコン	DASHの爽快感がなすぎる	
42	00:00:00	じょーげん	ロック君ヘルメット替えた？	
43	00:00:00	マーズ	青い空と紺碧の海がどこまでも続くロードラン	
44	00:00:00	鼻毛の錬金術師	ロック君全体的に黒くなったな	
45	00:00:00	マーズ	ロック悪いことしすぎて真っ黒だ	
46	00:00:00	tage	ロールちゃんはどこ･･･？	
47	00:00:00	じょーげん	牢屋…じゃないすかねぇ・・	
48	00:00:00	鼻毛の錬金術師	ロールちゃんはロック見捨ててどっかいった(適当)	
49	00:00:00	マーズ	祭祀場の篝火の下に囚われてますかね	
50	00:00:00	えび		￥100
51	00:00:09	あまいさい	お	
52	00:00:14	岸辺一徳	おいしい煮玉子	
53	00:00:16	鼻毛の錬金術師	おいしい煮玉子	
54	00:00:16	_ Die	おいしい煮玉子	
55	00:00:17	ふーばー	おいしい煮玉子～	
56	00:00:18	せせらぎ	こんにちは	
57	00:00:18	tage	おいたま	
58	00:00:22	食べる小魚	おいたまー	
59	00:00:22	フレイムリンクス	おいしい煮玉子～	
60	00:00:23	えび	おいたま～　	
61	00:00:24	Redmix	おいしい煮玉子	
62	00:00:25	周恩来	おいしい煮玉子	
63	00:00:26	うぇいのる	おいしい煮玉子	
64	00:00:26	ヌルヌペペ	おいしい煮玉子	
65	00:00:28	袖口	おいしい煮玉子	
66	00:00:29	双葉ゆうま	おにたま～	
67	00:00:29	biggs	おいしい煮玉子	
68	00:00:32	ほるもん	こんにちは	
69	00:00:33	たんこぶ	こんにちはー	
70	00:00:33	鼻毛の錬金術師	ダクソ初見	
71	00:00:34	ねこくーる	こんにちは	
72	00:00:36	さんぽーる祐三	おいたまー	
73	00:00:36	あまいさい	おいしい煮玉子	
74	00:00:38	むらさきあんこ	おいしい煮玉子	
75	00:00:39	近藤亮	おいしい煮玉子	
76	00:00:40	おさかな	おいしい煮玉子	
77	00:00:45	みつはちみつ	おいしい煮玉子	
78	00:00:46	究極ド根性ダイコン	おいしい煮玉子	
79	00:00:46	うぇいのる	久々のダクソだあああ	
80	00:00:47	かたもく	美味しい煮卵・・・アレ？	
81	00:00:47	キサラギ	おいしい煮玉子	
82	00:00:52	さんぽーる祐三	うんｋいってたら始まってた	
83	00:00:56	タケノコ男	おいしい煮玉子	
84	00:00:56	Garden	おいしい煮玉子	
85	00:00:59	mori mori	もう一月かあ	
86	00:00:59	白雪	にたまー	
87	00:01:01	小峰隆介	おいしい煮玉子	
88	00:01:17	じょーげん	姉ちゃんだああああああああああああ	
89	00:01:20	鼻毛の錬金術師	ロックマンDASHは我が書き換えた	
90	00:01:23	食べる小魚	シースか	
91	00:01:28	かたもく	シースか	
92	00:01:31	うぇいのる	シースーさんか	
