行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	K. u	おいしい煮玉子	
1	00:00:00	うぇいのる	待機	
2	00:00:00	_ Die	待機	
3	00:00:00	ぴねかっと	おいしい煮玉子	
4	00:00:00	らうらう	おいしい煮玉子	
5	00:00:00	スモーク	おいしい煮玉子	
6	00:00:00	ミワタリ	おいしい煮玉子	
7	00:00:00	T.のかね	おいしい煮玉子	
8	00:00:00	リフェ	おいしい煮玉子	
9	00:00:00	あい	おいしい煮玉子	
10	00:00:00	わんにゃんパラダイス	おいしい煮玉子	
11	00:00:00	なんたら	おいしい煮玉子	
12	00:00:00	Ryo Kamiya	おいしい煮玉子	
13	00:00:00	blank	おいしい煮玉子	
14	00:00:00	motiyomogi	おいしい煮玉子	
15	00:00:00	ヌルヌペペ	おいしい煮玉子	
16	00:00:00	ジャック・オー	おいしい煮玉子	
17	00:00:00	伏葦たぐい	おいしい煮玉子	
18	00:00:00	じょーげん	おいしい煮玉子	
19	00:00:00	Kiva Etta	おいしい煮玉子	
20	00:00:00	タケノコ男	おいしい煮玉子	
21	00:00:00	_ Die	おいしい煮玉子	
22	00:00:00	桜田紅	おいしい煮玉子	
23	00:00:00	いぶきんぐ	おいしい煮玉子	
24	00:00:00	近藤亮	おいしい煮玉子	
25	00:00:00	東京コノハムシ	おいしい煮玉子	
26	00:00:00	ほるもん	おいしい煮玉子	
27	00:00:00	miya miya	おいしい煮卵	
28	00:00:00	ニーツちゃんねる	おいしい煮玉子	
29	00:00:00	しれちゅー	こんばんはー ​おいしい煮玉子	
30	00:00:00	H Y	おいしい煮玉子	
31	00:00:00	mk 95	おいしい煮玉子	
32	00:00:00	周恩来	おいしい煮玉子	
33	00:00:00	ああ	おいしい煮玉子	
34	00:00:00	うぇいのる	おいしい煮玉子	
35	00:00:00	eve	おいしい煮玉子	
36	00:00:00	エルドラeldora	おいしい煮玉子	
37	00:00:00	尾花	おいしい煮玉子	
38	00:00:00	JUNY	おいしい煮玉子（挨拶）	
39	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
40	00:00:00	ゴギガガガギゴ	おいしい煮玉子	
41	00:00:00	aa bb	さはなやらかしてらぁ	
42	00:00:00	カーマイン	おいしい煮玉子	
43	00:00:00	蒼井時雨	おいしい煮玉子	
44	00:00:00	イヌージョンCHANNEL	おいしい煮玉子	
45	00:00:00	バーチャル先行者	おいたま～	
46	00:00:00	Kuulan	おいしい煮玉子	
47	00:00:00	デンキヒツジ	おいしい煮玉子	
48	00:00:00	レイキュバス	おいしい煮玉子	
49	00:00:00	スモーク	さはなくんちゃんそれはいけないｗ	
50	00:00:00	岸辺一徳	ラストスパートがんばれー	￥500
51	00:00:03	がるんご	おいしい煮玉子	
52	00:00:10	わんにゃんパラダイス	おいしい煮玉子	
53	00:00:11	motiyomogi	おいしい煮玉子	
54	00:00:12	あい	おいしい煮玉子	
55	00:00:13	バーチャル先行者	おいしい煮玉子	
56	00:00:14	aarar scsrt	おいしい煮玉子	
57	00:00:14	まりも	おいしい煮玉子	
58	00:00:17	いぶきんぐ	おいしい煮玉子	
59	00:00:17	周恩来	おいしい煮玉子	
60	00:00:17	くりお	美味しい煮玉子	
61	00:00:17	blank	おいしい煮玉子	
62	00:00:18	mori mori	おいしい煮玉子！	
63	00:00:18	桜田紅	はじまった！	
64	00:00:19	ほるもん	おいしい煮玉子	
65	00:00:19	リフェ	おいしい煮玉子	
66	00:00:20	ラチェット	おいしい煮玉子	
67	00:00:20	近藤亮	おいしい煮玉子	
68	00:00:21	めるカバ	おいしい煮玉子	
69	00:00:21	カギカギ	おいしい煮玉子	
70	00:00:22	白雪	おいしい煮玉子	
71	00:00:22	らうらう	おいしい煮玉子	
72	00:00:22	タケノコ男	おいしい煮玉子	
73	00:00:23	ミワタリ	おいしい煮玉子	
74	00:00:23	御早和杯	おいしい煮玉子	
75	00:00:25	_ Die	おいしい煮玉子	
76	00:00:26	Shota Hamada	おいしい煮玉子	
77	00:00:27	JUNY	はじまった！	
78	00:00:28	K. u	おいしい煮玉子	
79	00:00:28	毒入りトマト	おいしい煮玉子	
80	00:00:28	にけい	おいしい煮玉子	
81	00:00:29	T.のかね	おいしい煮玉子〜	
82	00:00:32	バーチャル犬	おいしい煮玉子	
83	00:00:34	りあすて	おいしい煮玉子	
84	00:00:34	Ryo Kamiya	おいしい煮玉子	
85	00:00:34	ナウ	おいしい煮玉子	
86	00:00:34	ゴリラ3倍	おいしい煮玉子	
87	00:00:35	らうらう	もうはじまってる！！	
88	00:00:35	うぇいのる	始まったー	
89	00:00:35	ジョナサン・グレーン	おいしい煮玉子	
90	00:00:36	ほるもん	まてる	
91	00:00:38	バーチャル先行者	たこのこ公国 #とは	
92	00:00:38	x 7up	おいしい煮玉子～	
93	00:00:40	カーマイン	おいしい煮玉子	
94	00:00:42	歌川	おいしい煮玉子	
95	00:00:46	東京コノハムシ	はじまった！！！	
96	00:00:50	御早和杯	よろしくおねがいします	
97	00:00:52	わんにゃんパラダイス	かわいい	
98	00:00:53	周恩来	姉ちゃんチャット止まってるよ！	
99	00:00:53	タケノコ男	かわいい	
100	00:00:00	K. u	おいしい煮玉子	
101	00:00:00	うぇいのる	待機	
102	00:00:00	_ Die	待機	
103	00:00:00	ぴねかっと	おいしい煮玉子	
104	00:00:00	らうらう	おいしい煮玉子	
105	00:00:00	スモーク	おいしい煮玉子	
106	00:00:00	ミワタリ	おいしい煮玉子	
107	00:00:00	T.のかね	おいしい煮玉子	
108	00:00:00	リフェ	おいしい煮玉子	
109	00:00:00	あい	おいしい煮玉子	
110	00:00:00	わんにゃんパラダイス	おいしい煮玉子	
111	00:00:00	なんたら	おいしい煮玉子	
112	00:00:00	Ryo Kamiya	おいしい煮玉子	
113	00:00:00	blank	おいしい煮玉子	
