行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	らうらう	ゾーパー家の霊圧がない	
1	00:00:00	いぶきんぐ	おいしい煮玉子	
2	00:00:00	じょーげん	おいしい煮玉子	
3	00:00:00	カギカギ	おいしい煮玉子	
4	00:00:00	JUNY	おいしい煮玉子	
5	00:00:00	スモーク	おいしい煮玉子	
6	00:00:00	らうらう	おいしい煮玉子	
7	00:00:00	リフェ	おいしい煮玉子	
8	00:00:00	竹輪	おいしい煮玉子	
9	00:00:00	T.のかね	おいしい煮玉子	
10	00:00:21	ああ	おいしい煮玉子	
11	00:00:25	カギカギ	おいしい煮玉子	
12	00:00:25	らうらう	おいしい煮玉子	
13	00:00:26	motiyomogi	おいしい煮玉子	
14	00:00:29	リフェ	おいしい煮玉子	
15	00:00:31	にけい	おいしい煮玉子	
16	00:00:31	竹輪	おいたまー	
17	00:00:44	いぶきんぐ	おいしい煮玉子	
18	00:00:52	JUNY	出戻り主人公	
19	00:00:53	竹輪	よかった	
20	00:01:01	10あああ	おいしい煮玉子	
21	00:01:19	アンテロープ。	おいしい煮卵子	
22	00:01:25	JUNY	ﾄﾞｻｯ	
23	00:01:25	にけい	土の民がどうとか	
24	00:02:11	らうらう	おくすり飲んで	
25	00:02:13	竹輪	喉を大事に	
26	00:02:22	ヘンリーダーガー	おいしい煮玉子	
27	00:02:24	いぶきんぐ	おのれ花粉	
28	00:02:28	ナウ	あれカラス君復帰してる	
29	00:02:55	ナウ	見逃したかな・・・	
30	00:03:42	りあすて	おいしい煮玉子	
31	00:03:46	ああ	終盤っぽいBGM	
32	00:04:08	りあすて	ちょっとだけってかわいいな	
33	00:06:13	スモーク	カラスくん復帰の記憶がないと思ったら前回は深夜だったから途中で寝たんだった	
34	00:06:48	竹輪	つよい	
35	00:06:59	リフェ	発酵したのかな…	
36	00:07:58	いぶきんぐ	麦茶的ななにかがあったのだろうか	
37	00:08:12	スモーク	麦的なものあったっけ？	
38	00:10:42	JUNY	よんよんよん	
39	00:13:51	J u d a S S	おいしい煮玉子ー	
40	00:14:02	クロムア	おいしい煮玉子	
41	00:15:34	竹輪	つよそう	
42	00:15:36	ナウ	我は中ボス	
43	00:15:43	カギカギ	つよそう	
44	00:16:05	レノンモドキ	おいしい煮玉子ー	
45	00:18:51	スモーク	離脱してたぶん働いてもらわないと	
46	00:19:19	味付けタマゴ	おいしい煮玉子	
47	00:19:27	カギカギ	それトイレの水じゃ...	
48	00:19:31	JUNY	マジかすごい	
49	00:19:39	スモーク	草	
50	00:19:46	竹輪	草	
51	00:19:52	いぶきんぐ	かわいい	
52	00:19:59	カギカギ	かわいい	
53	00:20:42	スモーク	玉がぶら下がってるな…	
54	00:21:14	JUNY	バランス感覚すごいなこいつら	
55	00:22:17	なんたら	今日クリアかな	
56	00:22:42	T.のかね	草	
57	00:22:44	リフェ	草	
58	00:22:48	竹輪	草	
59	00:22:51	りあすて	停電で止まった冷蔵庫みたい	
60	00:00:00	らうらう	ゾーパー家の霊圧がない	
61	00:00:00	いぶきんぐ	おいしい煮玉子	
62	00:00:00	じょーげん	おいしい煮玉子	
63	00:00:00	カギカギ	おいしい煮玉子	
64	00:00:00	JUNY	おいしい煮玉子	
65	00:00:00	スモーク	おいしい煮玉子	
66	00:00:00	らうらう	おいしい煮玉子	
67	00:00:00	リフェ	おいしい煮玉子	
68	00:00:00	竹輪	おいしい煮玉子	
69	00:00:00	T.のかね	おいしい煮玉子	
70	00:00:21	ああ	おいしい煮玉子	
71	00:00:25	カギカギ	おいしい煮玉子	
72	00:00:25	らうらう	おいしい煮玉子	
73	00:00:26	motiyomogi	おいしい煮玉子	
74	00:00:29	リフェ	おいしい煮玉子	
75	00:00:31	にけい	おいしい煮玉子	
76	00:00:31	竹輪	おいたまー	
77	00:00:44	いぶきんぐ	おいしい煮玉子	
78	00:00:52	JUNY	出戻り主人公	
79	00:00:53	竹輪	よかった	
80	00:01:01	10あああ	おいしい煮玉子	
81	00:01:19	アンテロープ。	おいしい煮卵子	
82	00:01:25	JUNY	ﾄﾞｻｯ	
83	00:01:25	にけい	土の民がどうとか	
84	00:02:11	らうらう	おくすり飲んで	
85	00:02:13	竹輪	喉を大事に	
86	00:02:22	ヘンリーダーガー	おいしい煮玉子	
87	00:02:24	いぶきんぐ	おのれ花粉	
88	00:02:28	ナウ	あれカラス君復帰してる	
89	00:02:55	ナウ	見逃したかな・・・	
90	00:03:42	りあすて	おいしい煮玉子	
91	00:03:46	ああ	終盤っぽいBGM	
92	00:04:08	りあすて	ちょっとだけってかわいいな	
93	00:06:13	スモーク	カラスくん復帰の記憶がないと思ったら前回は深夜だったから途中で寝たんだった	
94	00:06:48	竹輪	つよい	
95	00:06:59	リフェ	発酵したのかな…	
96	00:07:58	いぶきんぐ	麦茶的ななにかがあったのだろうか	
97	00:08:12	スモーク	麦的なものあったっけ？	
98	00:10:42	JUNY	よんよんよん	
99	00:13:51	J u d a S S	おいしい煮玉子ー	
100	00:14:02	クロムア	おいしい煮玉子	
101	00:15:34	竹輪	つよそう	
102	00:15:36	ナウ	我は中ボス	
103	00:15:43	カギカギ	つよそう	
104	00:16:05	レノンモドキ	おいしい煮玉子ー	
105	00:18:51	スモーク	離脱してたぶん働いてもらわないと	
106	00:19:19	味付けタマゴ	おいしい煮玉子	
107	00:19:27	カギカギ	それトイレの水じゃ...	
108	00:19:31	JUNY	マジかすごい	
109	00:19:39	スモーク	草	
110	00:19:46	竹輪	草	
111	00:19:52	いぶきんぐ	かわいい	
112	00:19:59	カギカギ	かわいい	
113	00:20:42	スモーク	玉がぶら下がってるな…	
114	00:21:14	JUNY	バランス感覚すごいなこいつら	
115	00:22:17	なんたら	今日クリアかな	
116	00:22:42	T.のかね	草	
117	00:22:44	リフェ	草	
118	00:22:48	竹輪	草	
119	00:22:51	りあすて	停電で止まった冷蔵庫みたい	
120	00:25:10	スモーク	古い水被らなきゃ	
121	00:25:13	ゆるふわ院	おいしい煮玉子	
122	00:25:20	りあすて	おせき大丈夫？	
123	00:25:38	にけい	おだいじに	
124	00:25:50	JUNY	そのうち（数か月）	
125	00:26:09	らうらう	ずびずび	
126	00:26:10	りあすて	すこやかに🦀	
127	00:26:49	りあすて	リュードさんが楽勝とか言うのなんか面白い	
128	00:27:07	リフェ	おお	
129	00:27:32	りあすて	全員浮いてるのか・・・	
130	00:28:26	にけい	ミズチ様家とかあるのか	
131	00:28:27	JUNY	なぜ親の在宅を気にする…	
132	00:30:09	スモーク	1人だけレベルが…	
133	00:30:52	motiyomogi	花粉症つらそう	
134	00:30:55	にけい	ぬちょぬちょしとる	
135	00:31:15	らうらう	空気清浄機しごとして！	
136	00:31:23	リフェ	空気清浄機がんばって！	
137	00:31:52	JUNY	加湿で花粉を床に落とそう	
138	00:31:58	motiyomogi	おみず	
139	00:32:06	いぶきんぐ	外から服につけて来ちゃったりするとなかなかね…	
140	00:32:42	JUNY	外から帰ったら服をコロコロする	
141	00:32:45	にけい	枝豆すげえ	
142	00:33:01	なんたら	邪悪なコンボだ	
143	00:35:17	motiyomogi	すごい名前の技だ	
144	00:36:55	にけい	リュードさんずっと腐った肉大事に持ってるな	
145	00:39:55	らうらう	あれ	
146	00:40:05	JUNY	おぅ？	
147	00:40:05	カギカギ	あっ	
148	00:40:16	motiyomogi	おかえり	
149	00:40:19	にけい	ぐるぐるしてた	
150	00:40:19	竹輪	一瞬落ちた	
151	00:40:20	らうらう	一瞬切れた	
152	00:40:20	T.のかね	おかえり？	
153	00:40:22	タケノコ男	一瞬落ちた	
154	00:40:23	ナウ	一瞬切れた	
155	00:40:24	リフェ	おかえり	
156	00:41:17	らうらう	草	
157	00:41:18	スモーク	草	
158	00:41:22	竹輪	雑談！	
159	00:41:27	リフェ	草	
160	00:41:27	なんたら	Vジャンプ	
161	00:41:47	カギカギ	気の早い話だけどバテンシリーズ終わった後の予定は？	
162	00:42:06	なんたら	喉を大切にする配信	
163	00:43:20	らうらう	RPGはなあ	
164	00:43:24	竹輪	ボリュームがすごいからね	
165	00:43:34	いぶきんぐ	ボリュームあるからねぇ	
166	00:43:44	なんたら	別に少なく感じないけど	
167	00:45:10	T.のかね	血迷ったのか…	
168	00:45:22	タケノコ男	草	
169	00:45:42	カギカギ	amazon８７％OFFとかなってるけど大丈夫...？	
170	00:45:56	motiyomogi	やすい	
171	00:46:05	いぶきんぐ	やすい	
172	00:46:08	T.のかね	そんなに	
173	00:46:43	リフェ	へー	
174	00:47:00	スモーク	公式サイト見たらダンガンロンパとコラボしてるのか	
175	00:48:42	いぶきんぐ	トラスティベルやるならPS3版の方がいいだろうなぁ…	
176	00:48:44	カギカギ	PSだったらサガシリーズとかもいいね	
177	00:49:43	ナウ	たしかに	
178	00:49:43	なんたら	ロマサガみたい	
179	00:50:05	JUNY	ミンサガ！	
180	00:50:10	リフェ	みたいー	
181	00:50:27	JUNY	BGMがいいことと例のシーンしか知らない	
182	00:50:51	カギカギ	ナイトハルト卿のやつ？	
183	00:51:28	リフェ	主人公は誰選ぶのかなぁ？	
184	00:51:51	カギカギ	たのしみ	
185	00:51:55	スモーク	てっきりAAA縛りかと	
186	00:52:00	JUNY	母ちゃん！？	
187	00:52:42	リフェ	草	
188	00:52:43	カギカギ	かわいい	
189	00:52:45	タケノコ男	かわいい	
190	00:52:51	竹輪	かわいい	
191	00:52:53	なんたら	あれか！	
192	00:53:19	竹輪	へえー	
193	00:53:25	JUNY	そうなんだ	
194	00:55:11	T.のかね	かわいい	
195	00:55:16	タケノコ男	かわいい	
196	00:55:19	motiyomogi	かわいい	
197	00:55:20	いぶきんぐ	なんとかすればいい	
198	00:55:32	JUNY	ふわふわしとる	
199	00:57:02	なんたら	縛らなくても…	
200	00:58:08	なんたら	ライブ・ア・ライブ	
201	00:58:11	motiyomogi	ポポロクロイス物語とかは？	
202	00:59:49	竹輪	草	
203	01:00:09	じょーげん	草	
204	01:00:10	カギカギ	人のプレイ見てるの結構好きだけどなー	
205	01:00:11	motiyomogi	草	
206	01:00:11	いぶきんぐ	たしかに	
207	01:00:15	リフェ	草	
208	01:00:18	Ami Saika	草	
209	01:00:27	なんたら	心地いいよ	
210	01:01:06	T.のかね	やりたいのやった方がいいよ	
211	01:01:24	竹輪	そうだね	
212	01:01:31	リフェ	そうだね	
213	01:01:46	JUNY	名前知ってるけどやったことないゲーム珍しさで見てる面もあるから…	
214	01:01:58	aarar scsrt	ルゥ姉かしこい	
215	01:02:03	にけい	みんなバテンやったらいいのにね	
216	01:02:53	らうらう	SwitchはやくVC！	
217	01:02:58	究極ド根性ダイコン	面白いのにいまいち売れなかったゲームって後から高騰しがちだよね	
218	01:03:13	いぶきんぐ	みんなやってるものはかなり個性だせないとどこでも見れるって感じにしかならないしなぁ…	
219	01:03:39	motiyomogi	キ	
220	01:03:42	カギカギ	キ	
221	01:03:42	キングペンギン	カラスまわりのネタバレ無しで1やれたのは幸運だよ	
222	01:03:45	にけい	キ	
223	01:03:46	いぶきんぐ	キ	
224	01:03:49	なんたら	キ	
225	01:03:51	タケノコ男	キ	
226	01:03:56	究極ド根性ダイコン	イントネーションが普通だ…	
227	01:04:45	にけい	みんなミズチ様呼び捨てだ	
228	01:05:21	JUNY	両親！	
229	01:05:26	らうらう	めっちゃふつうのパパママだった	
230	01:05:42	リフェ	ふつうっぽい両親だ…	
231	01:05:44	JUNY	普通の言葉で話しとる	
232	01:05:53	八木谷	やさしい	
233	01:06:37	なんたら	力の影響かな	
234	01:06:49	タケノコ男	なんでミズチさまだけなまってるんだろ	
235	01:06:53	らうらう	草	
236	01:07:01	究極ド根性ダイコン	草	
237	01:07:05	らうらう	草	
238	01:07:06	T.のかね	草	
239	01:07:14	らうらう	wwwww	
240	01:07:14	JUNY	さまが！ｗ	
241	01:07:15	motiyomogi	草	
242	01:07:17	カギカギ	草	
243	01:07:18	ああ	こまかい	
244	01:07:20	スモーク	草	
245	01:07:22	なんたら	草	
246	01:07:22	リフェ	草	
247	01:08:01	にけい	これはキツイ	
248	01:08:13	竹輪	さまが消えた	
249	01:08:16	T.のかね	さまが…	
250	01:08:17	カギカギ	きえちゃった...	
251	01:08:18	JUNY	さま…おまえ…	
252	01:08:19	らうらう	あー	
253	01:08:22	究極ド根性ダイコン	ミズチさまじゃなくなっちゃった	
254	01:08:24	八木谷	あっ	
255	01:08:29	なんたら	さま…	
256	01:08:52	カギカギ	かわいい	
257	01:09:25	タケノコ男	ミズチパパやさしい	
258	01:09:58	スモーク	バリアフリー	
259	01:10:03	JUNY	そこまで広いマップでもないのに	
260	01:11:17	にけい	どうなってるんだこのワープ	
261	01:12:44	motiyomogi	にわとりがうるさい	
262	01:13:16	にけい	にわとりうるせえ！	
263	01:13:51	スモーク	🐓🐓🐓🐓	
264	01:16:13	にけい	シンパシー姉ちゃん	
265	01:16:22	スモーク	ゴールデンアイやってたのか懐かしいな	
266	01:16:23	らうらう	​うみゅ！ww	
267	01:16:35	いぶきんぐ	名前は有名なのになんとなくやったことないゲームってあるよね	
268	01:16:44	JUNY	あ、さま戻ってきたｗ	
269	01:17:10	らうらう	大姉ちゃんへたくそそう	
270	01:17:48	JUNY	足ぷらぷらしてるのにすごくちゃんとしてる	
271	01:17:49	なんたら	3D苦手な家系	
272	01:18:01	ウルケン・ノース世紀末系VTuber	確かに早すぎてびっくりしたなｗ	
273	01:19:37	motiyomogi	おみず	
274	01:19:38	ナウ	たしかに浮いておる	
275	01:20:10	タケノコ男	草	
276	01:20:13	リフェ	草	
277	01:20:14	竹輪	草	
278	01:20:15	にけい	お…おまえ…女の子だったのか！	
279	01:20:15	八木谷	草	
280	01:20:23	ナウ	なるほど	
281	01:20:23	いぶきんぐ	草	
282	01:20:24	T.のかね	なるほど	
283	01:20:24	究極ド根性ダイコン	なるほど…	
284	01:20:25	JUNY	何がなるほどなんだよ	
285	01:20:26	motiyomogi	なるほどな～	
286	01:20:31	タケノコ男	なるほど	
287	01:20:44	八木谷	なるほど～	
288	01:20:45	motiyomogi	3種の神器だ	
289	01:20:51	ジャック・オー	なるほどなー	
290	01:21:06	リフェ	三種の神器だったんだ…	
291	01:21:07	キングペンギン	ギバリちゃん？！	
292	01:22:14	にけい	そんな縁起の悪いとこに奉納してるのか	
293	01:22:23	究極ド根性ダイコン	草	
294	01:22:23	内海柚	おいしい煮玉子ー	
295	01:22:24	スモーク	草	
296	01:22:28	リフェ	草	
297	01:22:29	いぶきんぐ	草	
298	01:22:30	motiyomogi	草	
299	01:22:32	ナウ	精霊の勇者よ	
300	01:22:40	究極ド根性ダイコン	イントネーションが毎回違うの草	
301	01:22:45	タケノコ男	草	
302	01:22:45	JUNY	草	
303	01:22:47	T.のかね	草	
304	01:22:49	じょーげん	草	
305	01:22:49	ジャック・オー	草	
306	01:22:55	いぶきんぐ	うんざりしてきてる！	
307	01:23:01	JUNY	おこられた	
308	01:23:06	ジャック・オー	怒られたｗ	
309	01:24:17	ナウ	なるほど	
310	01:24:27	biggs	おいしい煮玉子	
311	01:25:13	なんたら	土地の名前どういう意味なんだろう	
312	01:26:10	竹輪	勝ったのか	
313	01:26:19	リフェ	なるほど…	
314	01:28:17	なんたら	ちょっとバベルの塔っぽい	
315	01:28:57	内海柚	ナウシカの腐海っぽい	
316	01:29:39	motiyomogi	おみず	
317	01:31:08	なんたら	/	
318	01:32:17	竹輪	くらい	
319	01:32:26	究極ド根性ダイコン	輝度が足りない	
320	01:32:29	リフェ	真っ暗すぎる…	
321	01:33:40	にけい	ちょっとキザなリュードさん	
322	01:34:37	なんたら	前回は大変だったね	
323	01:35:05	biggs	カラス君がタフすぎたのが悪い	
324	01:35:09	タケノコ男	許した	
325	01:35:22	ジャック・オー	山場は仕方ないよ	
326	01:35:48	スモーク	草	
327	01:36:01	なんたら	ラスボス～	
328	01:36:12	内海柚	金曜日ならわりかし大丈夫だと思うけどね	
329	01:36:39	内海柚	どうなってるの・・・	
330	01:36:42	スモーク	どうなってんだその川	
331	01:36:53	竹輪	すごい場所だ…	
332	01:36:58	いぶきんぐ	オアシス感	
333	01:37:05	ねこくーる	こんばんは	
334	01:38:48	内海柚	ニワトリの鳴き声怖い	
335	01:39:20	竹輪	ずっと鳴いてる	
336	01:39:34	味付けタマゴ	🐔🐔🐔🐓🐔🐔🐔	
337	01:39:34	ねこくーる	最初の村でもニワトリうるさかったね	
338	01:39:36	究極ド根性ダイコン	ｺｯｺｯｺｯｺｯｺｯｺｯ	
339	01:39:40	にけい	そとで飼いなよ…	
340	01:39:44	ああ	ノコギリの音みたい	
341	01:40:12	なんたら	鶏の数に対して声が多すぎる…	
342	01:41:11	スモーク	大豆は納豆になるのか醤油になるのか	
343	01:42:27	カギカギ	リュードさんの写真売ろう	
344	01:43:11	スモーク	剣が無いでそのまま話終わったのか	
345	01:43:35	なんたら	つらい	
346	01:43:35	motiyomogi	おせき	
