行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	弐号。あくじき	おいしい煮玉子	
1	00:00:00	二階堂義盛	おいしい煮玉子	
2	00:00:00	竹輪	おいしい煮玉子	
3	00:00:00	ふーばー	おいしい煮玉子	
4	00:00:00	ゆおた	おいしい煮玉子	
5	00:00:00	sio3go	おいしい煮玉子	
6	00:00:00	スモーク	おいしい煮玉子	
7	00:00:00	じょーげん	おいしい煮玉子	
8	00:00:00	JUNY	オイ･C煮玉子	
9	00:00:00	らうらう	おいしい煮玉子	
10	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
11	00:00:00	eve	おいしい煮玉子	
12	00:00:00	シンヤ	おいしい煮玉子	
13	00:00:00	近藤亮	おいしい煮玉子	
14	00:00:00	リフェ	おいしい煮玉子	
15	00:00:00	ゼッケン100	おいしい煮玉子	
16	00:00:00	sas b	おいしい煮玉子	
17	00:00:00	mk 95	おいしい煮玉子	
18	00:00:00	カギカギ	おいしい煮玉子	
19	00:00:00	T.のかね		￥600
20	00:00:00	にけい		￥200
21	00:00:13	らうらう	おいしい煮玉子	
22	00:00:17	ゆおた	おいしい煮玉子	
23	00:00:18	リフェ	おいしい煮玉子	
24	00:00:20	ゼッケン100	おいしい煮玉子	
25	00:00:20	ふーばー	​おいしい煮玉子	
26	00:00:21	レコ	美味しい煮玉子	
27	00:00:23	ナウ	おいしい煮玉子	
28	00:00:24	eve	おいしい煮玉子	
29	00:00:25	ゼッケン100	おはよう姉ちゃん	
30	00:00:27	seafood	おいしい煮玉子	
31	00:00:29	ジョナサン・グレーン	おいしい煮玉子	
32	00:00:32	のねずみ	おいしい煮玉子	
33	00:00:33	竹輪	おいたま！	
34	00:00:35	厳かな守護者P	おいしい煮玉子	
35	00:00:36	にけい	おいしい煮玉子	
36	00:00:47	竹やぶ	おいしい煮玉子	
37	00:00:49	岸辺一徳	おいしい煮玉子	
38	00:00:50	竹輪	それはよかった	
39	00:00:55	らうらう	かわいい	
40	00:00:56	なる	おいしい煮玉子	
41	00:00:56	弐号。あくじき	おいたま	
42	00:01:00	袖口	おいしい煮玉子	
43	00:01:02	リフェ	おー！	
44	00:01:03	ヌルヌペペ	おいしい煮玉子	
45	00:01:05	K. u	おいしい煮玉子	
46	00:01:05	sio3go	ここからだ〜	
47	00:01:07	JUNY	気持ちのいい朝だね	
48	00:01:12	ふーばー	ｶﾞﾝﾊﾞｯﾃﾈ！	
49	00:01:24	二階堂義盛	初手ちゅっちゅ❤	
50	00:01:38	JUNY	ナイスビジョン	
51	00:01:38	J u d a S S	おいしい煮玉子ー	
52	00:01:45	リフェ	ハートが多いパーティだ	
53	00:02:05	竹輪	かわいい	
54	00:02:08	竹やぶ	やるやる	
55	00:02:13	ゼッケン100	草	
56	00:02:24	ジョナサン・グレーン	ちゅっちゅ❤️といいレッド❤️ⅩⅢといい姉ちゃん❤️好きだね	
57	00:02:34	ナウ	JCだからね	
58	00:02:56	竹輪	体力すごい	
59	00:02:58	3K VC	背景きれいすぎてMAP分からないあるある	
60	00:03:08	ゆおた	こいつ確か離脱技あるから注意	
61	00:03:08	らうらう	あさごはんたべたの	
62	00:03:12	ジョナサン・グレーン	すごい	
63	00:03:30	ゼッケン100	アメリカン姉ちゃん	
64	00:03:34	岸辺一徳	おいしいピザ	
65	00:03:35	竹輪	えらい！	
66	00:03:36	生霊X	JC飯	
67	00:03:37	JUNY	ピザは野菜入ってるからな	
68	00:03:43	らうらう	🍕	
69	00:00:00	弐号。あくじき	おいしい煮玉子	
70	00:00:00	二階堂義盛	おいしい煮玉子	
71	00:00:00	竹輪	おいしい煮玉子	
72	00:00:00	ふーばー	おいしい煮玉子	
73	00:00:00	ゆおた	おいしい煮玉子	
74	00:00:00	sio3go	おいしい煮玉子	
75	00:00:00	スモーク	おいしい煮玉子	
76	00:00:00	じょーげん	おいしい煮玉子	
77	00:00:00	JUNY	オイ･C煮玉子	
78	00:00:00	らうらう	おいしい煮玉子	
79	00:00:00	ジョナサン・グレーン	おいしい煮玉子	
80	00:00:00	eve	おいしい煮玉子	
81	00:00:00	シンヤ	おいしい煮玉子	
82	00:00:00	近藤亮	おいしい煮玉子	
83	00:00:00	リフェ	おいしい煮玉子	
84	00:00:00	ゼッケン100	おいしい煮玉子	
85	00:00:00	sas b	おいしい煮玉子	
86	00:00:00	mk 95	おいしい煮玉子	
87	00:00:00	カギカギ	おいしい煮玉子	
88	00:00:00	T.のかね		￥600
89	00:00:00	にけい		￥200
90	00:00:13	らうらう	おいしい煮玉子	
91	00:00:17	ゆおた	おいしい煮玉子	
92	00:00:18	リフェ	おいしい煮玉子	
93	00:00:20	ゼッケン100	おいしい煮玉子	
94	00:00:20	ふーばー	​おいしい煮玉子	
95	00:00:21	レコ	美味しい煮玉子	
96	00:00:23	ナウ	おいしい煮玉子	
97	00:00:24	eve	おいしい煮玉子	
98	00:00:25	ゼッケン100	おはよう姉ちゃん	
99	00:00:27	seafood	おいしい煮玉子	
100	00:00:29	ジョナサン・グレーン	おいしい煮玉子	
101	00:00:32	のねずみ	おいしい煮玉子	
102	00:00:33	竹輪	おいたま！	
103	00:00:35	厳かな守護者P	おいしい煮玉子	
104	00:00:36	にけい	おいしい煮玉子	
105	00:00:47	竹やぶ	おいしい煮玉子	
106	00:00:49	岸辺一徳	おいしい煮玉子	
107	00:00:50	竹輪	それはよかった	
108	00:00:55	らうらう	かわいい	
109	00:00:56	なる	おいしい煮玉子	
110	00:00:56	弐号。あくじき	おいたま	
111	00:01:00	袖口	おいしい煮玉子	
112	00:01:02	リフェ	おー！	
113	00:01:03	ヌルヌペペ	おいしい煮玉子	
114	00:01:05	K. u	おいしい煮玉子	
115	00:01:05	sio3go	ここからだ〜	
116	00:01:07	JUNY	気持ちのいい朝だね	
117	00:01:12	ふーばー	ｶﾞﾝﾊﾞｯﾃﾈ！	
118	00:01:24	二階堂義盛	初手ちゅっちゅ❤	
119	00:01:38	JUNY	ナイスビジョン	
120	00:01:38	J u d a S S	おいしい煮玉子ー	
121	00:01:45	リフェ	ハートが多いパーティだ	
122	00:02:05	竹輪	かわいい	
123	00:02:08	竹やぶ	やるやる	
124	00:02:13	ゼッケン100	草	
125	00:02:24	ジョナサン・グレーン	ちゅっちゅ❤️といいレッド❤️ⅩⅢといい姉ちゃん❤️好きだね	
126	00:02:34	ナウ	JCだからね	
127	00:02:56	竹輪	体力すごい	
128	00:02:58	3K VC	背景きれいすぎてMAP分からないあるある	
129	00:03:08	ゆおた	こいつ確か離脱技あるから注意	
130	00:03:08	らうらう	あさごはんたべたの	
131	00:03:12	ジョナサン・グレーン	すごい	
132	00:03:30	ゼッケン100	アメリカン姉ちゃん	
133	00:03:34	岸辺一徳	おいしいピザ	
134	00:03:35	竹輪	えらい！	
135	00:03:36	生霊X	JC飯	
136	00:03:37	JUNY	ピザは野菜入ってるからな	
137	00:03:43	らうらう	🍕	
138	00:03:55	竹やぶ	崖の裂け目から登れるよ	
139	00:03:59	K. u	飲み物はコーラ？	
140	00:04:01	ふーばー	ピザとコーラが欠かせない	
141	00:04:05	ゆおた	ピザは野菜、アメリカ人が言うんだから間違いない	
142	00:04:22	JUNY	ちっさ	
143	00:04:24	ゼッケン100	かわいいね♡	
144	00:04:31	eve	ちっちゃい	
145	00:04:31	tokei	ちっさいビーストかわいい	
146	00:04:34	K. u	ちっちゃい	
147	00:04:50	竹輪	喉がやられちゃうからね	
148	00:04:51	らうらう	女子力～～～～～↑↑↑↑↑	
149	00:04:54	ふーばー	コンビニで買うとストローついてくるやつ	
150	00:05:17	竹輪	豪快	
151	00:05:19	K. u	JCらしいチョイス	
152	00:05:23	生霊X	贅沢	
153	00:05:27	らうらう	ながい	
154	00:05:30	近藤亮	そんなのあるんだ	
155	00:05:32	ジョナサン・グレーン	すごい	
156	00:06:00	J u d a S S	めんみソングがYouに夢中の館内で流れるって聞いてビックリした	
157	00:06:20	JUNY	タイムリー	
158	00:06:23	ふーばー	なつかしいおうた	
159	00:06:27	ジョナサン・グレーン	ウェーイ味方アホだけ	
160	00:06:35	竹輪	姉ちゃんすごい	
161	00:06:35	ふーばー	１２時から	
162	00:06:39	ゆおた	防御高い腕輪きた	
163	00:06:43	ジョナサン・グレーン	すごい	
164	00:06:45	カギカギ	すごい	
165	00:06:48	リフェ	すごい	
166	00:07:19	K. u	15秒しかないし実際CMソング	
167	00:07:34	らうらう	ありがたいねえ	
168	00:07:38	竹輪	ありがたい	
169	00:07:40	のねずみ	ありがたいねぇ	
170	00:07:42	JUNY	ありがたい…	
171	00:07:44	ジョナサン・グレーン	これはありがたい…	
172	00:08:05	ビオランテ	朝ごはん何食べましたか？	
173	00:08:17	リフェ	めんみの購入者が増えるね！	
174	00:08:17	ゼッケン100	初見の人なんでCM流れてるんだろって思いそう	
175	00:08:35	J u d a S S	短いから何回かループするんかな…	
176	00:08:35	JUNY	シーフードはヘルシー	
177	00:08:36	竹輪	バーチャル一切関係ないの草	
178	00:08:37	ビオランテ	朝からピザとはいいねぇ	
179	00:09:16	キタカシ	あれいつの間に再開してたの？通知来なかったや	
180	00:09:16	らうらう	気になる姉ちゃんかわいい	
181	00:09:24	竹やぶ	下にマテリアあったよ	
182	00:09:30	mori mori	後々ﾏｼｭﾏﾛでじゃないかな	
183	00:09:51	岸辺一徳	プレイリスト1サイクル2時間くらいらしいから13時までには入れればいけそう	
184	00:09:52	ぼくさー	起きた	
185	00:10:04	竹輪	チートで草	
186	00:10:08	二階堂義盛	ゲームクリアのマテリア	
187	00:10:11	JUNY	めっちゃ走ってる	
188	00:10:16	ジョナサン・グレーン	強すぎる…	
189	00:10:45	JUNY	変身かな？	
190	00:10:50	ナウ	リリカルトカレフキルゼムオール	
191	00:10:51	ぼくさー	マジカルなつい	
