行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	ジャック・オー	待機煮玉子	
1	00:00:00	ジョナサン・グレーン	おいしい待機	
2	00:00:00	ホワイトラン衛兵	煮玉子待機	
3	00:00:00	竹輪	おいたい	
4	00:00:00	カーマイン	いずれ訪れる煮玉子	
5	00:00:00	スモーク	おいしい煮玉子	
6	00:00:00	えび	おいしい煮玉子	
7	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
8	00:00:00	aarar scsrt	おいしい煮玉子	
9	00:00:00	ヌルヌペペ	おいしい煮玉子	
10	00:00:10	motiyomogi	おいしい煮玉子	
11	00:00:15	竹輪	おいしい煮玉子	
12	00:00:20	リフェ	​おいしい煮玉子	
13	00:00:21	タケノコ男	おいしい煮玉子	
14	00:00:21	ねころじかる	おいしい煮玉子	
15	00:00:26	畑秋	おいしい煮玉子	
16	00:00:27	うぇいのる	おいしい煮玉子	
17	00:00:28	Ryo Kamiya	おいしい煮玉子	
18	00:00:29	らうらう	おいしい煮玉子	
19	00:00:31	カーマイン	おいしい煮玉子	
20	00:00:33	にけい	おいしい煮玉子	
21	00:00:44	じょーげん	おいしい煮玉子	
22	00:00:53	らうらう	？！	
23	00:00:57	カーマイン	！？	
24	00:00:58	えび	！？	
25	00:00:59	ホワイトラン衛兵	！？	
26	00:01:03	らうらう	？！？！？！	
27	00:01:06	スモーク	!?	
28	00:01:07	eve	おいしい煮玉子	
29	00:01:07	タケノコ男	！？	
30	00:01:08	motiyomogi	！？	
31	00:01:16	ナウ	おいしい煮玉子	
32	00:01:18	ジョナサン・グレーン	この構図好き	
33	00:01:21	JUNY	おいしい煮玉子（挨拶）	
34	00:01:23	じょーげん	おいしい煮玉子	
35	00:01:23	えび	おいたま～	
36	00:01:24	八木谷	おいしい煮玉子	
37	00:01:24	aarar scsrt	すげ	
38	00:01:28	ニャンコ先生	美味しい煮玉子	
39	00:01:30	ジョナサン・グレーン	おいしい煮玉子	
40	00:01:37	ナウ	オーバーソウル！	
41	00:01:38	ジャック・オー	おいしい煮玉子	
42	00:01:41	いぶきんぐ	おいしい煮玉子	
43	00:01:42	カーマイン	おいしい煮玉子	
44	00:01:46	スモーク	ヌルッと始まった	
45	00:01:46	呂宋鋼四郎	おいしい煮玉子	
46	00:01:48	らうらう	この構図すき	
47	00:01:48	畑秋	いぇーい！	
48	00:01:55	ナウ	大佐の強キャラ感	
49	00:01:56	うぇいのる	この視点いいねぇ	
50	00:02:00	らうらう	すげええええええええええええええ	
51	00:02:05	かたもく	おいしいマンキン	
52	00:02:07	ナウ	ムゥ・フラン・ゾーパー	
53	00:02:08	竹輪	ムゥさんの声だったのか	
54	00:02:09	タケノコ男	ムゥくんすき	
55	00:02:09	みつはちみつ	おいしい煮玉子	
56	00:02:17	いぶきんぐ	ムゥ君オーバーソウルしてほしみある	
57	00:02:17	motiyomogi	ムゥ兄ちゃんすき	
58	00:02:20	にけい	ムゥボイスやったん！？	
59	00:02:21	ジャック・オー	おいしいオーバーソウル	
60	00:00:00	ジャック・オー	待機煮玉子	
61	00:00:00	ジョナサン・グレーン	おいしい待機	
62	00:00:00	ホワイトラン衛兵	煮玉子待機	
63	00:00:00	竹輪	おいたい	
64	00:00:00	カーマイン	いずれ訪れる煮玉子	
65	00:00:00	スモーク	おいしい煮玉子	
66	00:00:00	えび	おいしい煮玉子	
67	00:00:00	マイフェイバリットトリビアン	おいしい煮玉子	
68	00:00:00	aarar scsrt	おいしい煮玉子	
69	00:00:00	ヌルヌペペ	おいしい煮玉子	
70	00:00:10	motiyomogi	おいしい煮玉子	
71	00:00:15	竹輪	おいしい煮玉子	
72	00:00:20	リフェ	​おいしい煮玉子	
73	00:00:21	タケノコ男	おいしい煮玉子	
74	00:00:21	ねころじかる	おいしい煮玉子	
75	00:00:26	畑秋	おいしい煮玉子	
76	00:00:27	うぇいのる	おいしい煮玉子	
77	00:00:28	Ryo Kamiya	おいしい煮玉子	
78	00:00:29	らうらう	おいしい煮玉子	
79	00:00:31	カーマイン	おいしい煮玉子	
80	00:00:33	にけい	おいしい煮玉子	
81	00:00:44	じょーげん	おいしい煮玉子	
82	00:00:53	らうらう	？！	
83	00:00:57	カーマイン	！？	
84	00:00:58	えび	！？	
85	00:00:59	ホワイトラン衛兵	！？	
86	00:01:03	らうらう	？！？！？！	
87	00:01:06	スモーク	!?	
88	00:01:07	eve	おいしい煮玉子	
89	00:01:07	タケノコ男	！？	
90	00:01:08	motiyomogi	！？	
91	00:01:16	ナウ	おいしい煮玉子	
92	00:01:18	ジョナサン・グレーン	この構図好き	
93	00:01:21	JUNY	おいしい煮玉子（挨拶）	
94	00:01:23	じょーげん	おいしい煮玉子	
95	00:01:23	えび	おいたま～	
96	00:01:24	八木谷	おいしい煮玉子	
97	00:01:24	aarar scsrt	すげ	
98	00:01:28	ニャンコ先生	美味しい煮玉子	
99	00:01:30	ジョナサン・グレーン	おいしい煮玉子	
100	00:01:37	ナウ	オーバーソウル！	
101	00:01:38	ジャック・オー	おいしい煮玉子	
102	00:01:41	いぶきんぐ	おいしい煮玉子	
103	00:01:42	カーマイン	おいしい煮玉子	
104	00:01:46	スモーク	ヌルッと始まった	
105	00:01:46	呂宋鋼四郎	おいしい煮玉子	
106	00:01:48	らうらう	この構図すき	
107	00:01:48	畑秋	いぇーい！	
108	00:01:55	ナウ	大佐の強キャラ感	
109	00:01:56	うぇいのる	この視点いいねぇ	
110	00:02:00	らうらう	すげええええええええええええええ	
111	00:02:05	かたもく	おいしいマンキン	
112	00:02:07	ナウ	ムゥ・フラン・ゾーパー	
113	00:02:08	竹輪	ムゥさんの声だったのか	
114	00:02:09	タケノコ男	ムゥくんすき	
115	00:02:09	みつはちみつ	おいしい煮玉子	
116	00:02:17	いぶきんぐ	ムゥ君オーバーソウルしてほしみある	
117	00:02:17	motiyomogi	ムゥ兄ちゃんすき	
118	00:02:20	にけい	ムゥボイスやったん！？	
119	00:02:21	ジャック・オー	おいしいオーバーソウル	
120	00:02:30	ホワイトラン衛兵	カンペ読んでる？	
121	00:02:42	じょーげん	蘇れ蘇れ…	
122	00:02:50	八木谷	すごい	
123	00:02:50	呂宋鋼四郎	聞き逃した	
124	00:02:51	ピク太郎	おいしい煮玉子	
125	00:02:54	flat flat	きーみーにとーどけおーばーそーうる	
126	00:02:56	カーマイン	このレイアウト本当好き	
127	00:03:15	呂宋鋼四郎	集英社からじゃなくて	
128	00:03:21	らうらう	おいしい煮玉子	
129	00:03:24	竹輪	おいしい煮玉子	
130	00:03:24	えび	おいしい煮玉子～	
131	00:03:24	岸辺一徳	おいしい煮玉子	
132	00:03:25	タケノコ男	おいしい煮玉子	
133	00:03:25	桜田紅	おいしい煮玉子	
134	00:03:27	Ryo Kamiya	おいしい煮玉子	
135	00:03:27	カーマイン	おいしい煮玉子	
136	00:03:29	じょーげん	おいしい煮玉子	
137	00:03:30	にけい	おいしい煮玉子	
138	00:03:30	いぶきんぐ	JCだもんね	
139	00:03:30	motiyomogi	おいしい煮玉子	
140	00:03:32	かたもく	おいしい煮卵	
141	00:03:38	声デカ寺野	スーパースターズは武井先生の前作、仏ゾーンとそれに収録されてる読み切りを読むとさらに楽しめるぞ	
142	00:03:40	T.のかね	おいしい煮玉子	
143	00:03:42	ホワイトラン衛兵	草	
144	00:03:43	ミワタリ	おいしい煮玉子	
145	00:03:43	スモーク	草	
146	00:03:43	竹輪	かわいい	
147	00:03:47	らうらう	かわいい	
148	00:03:49	JUNY	そこがいいんだよ	
149	00:03:53	mumumu1200	かわいい	
150	00:03:54	ジャック・オー	かわいい	
151	00:03:58	裏切りおじさん	かをいい	
152	00:03:58	ホワイトラン衛兵	かわいい	
153	00:04:02	スモーク	かわいい	
154	00:04:05	いぶきんぐ	かわいい	
155	00:04:05	じょーげん	かわいい	
156	00:04:05	えび	かわいい	
157	00:04:05	畑秋	(♡´ω`♡)	
158	00:04:05	らうらう	かわいい	
159	00:04:06	タケノコ男	かわいい	
160	00:04:09	10あああ	かわいい	
161	00:04:09	motiyomogi	かわいい	
162	00:04:11	JUNY	後輩かわいい	
163	00:04:12	ニャンコ先生	左の女の子なんぬ？	
164	00:04:12	カーマイン	かわいい	
165	00:04:13	ねころじかる	かわいい	
166	00:04:20	かたもく	かわいい、登録しよ	
167	00:04:23	八木谷	かわいい	
168	00:04:35	えび	絵めっちゃうまい！	
169	00:04:37	Ryo Kamiya	うまっ	
170	00:04:40	斉藤九重	かわいい	
171	00:04:43	畑秋	チェックチェック	
172	00:04:43	八木谷	すごい	
173	00:04:49	ホワイトラン衛兵	うまい	
174	00:04:55	タケノコ男	うまい	
175	00:05:06	じょーげん	うまい	
176	00:05:10	eve	うまい	
177	00:05:10	ねころじかる	ご本人！	
178	00:05:17	ジャック・オー	うまい	
179	00:05:20	いぶきんぐ	これはうまい	
180	00:05:22	くろが	固定ツイのイラスト好き	
181	00:05:34	ニャンコ先生	先生をオーバーソウルしたんぬ？	
182	00:05:37	うぇいのる	草	
183	00:05:41	ねころじかる	大佐ァ！	
184	00:05:42	ホワイトラン衛兵	草	
185	00:05:44	Ryo Kamiya	大佐ァ！	
186	00:05:44	スモーク	姉ちゃんｗ	
187	00:05:45	カーマイン	そういうとこ好き	
188	00:05:50	JUNY	大佐ァ！	
189	00:05:53	じょーげん	大佐ァ！	
190	00:05:54	タケノコ男	大佐ァ！	
191	00:05:57	むらさきあんこ	大佐の安心感	
192	00:05:57	くろが	わかる	
193	00:05:58	呂宋鋼四郎	やっぱりな	
194	00:05:59	竹輪	大佐ァ！	
195	00:06:01	声デカ寺野	ロリコン乙	
196	00:06:02	橘花茶-きっかちゃ-	大佐ァ！	
197	00:06:03	にけい	ざっくり！	
198	00:06:03	いぶきんぐ	大佐ァ！	
199	00:06:07	10あああ	大佐ァ！	
200	00:06:07	スモーク	大佐ァ！	
201	00:06:11	八木谷	大佐ァ！	
