行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:00	むむめめ	おいしい煮玉子	
1	00:00:00	桜田紅	おいしい煮玉子	
2	00:00:00	べるべる	おいしい煮玉子	
3	00:00:00	小さい胡麻塩	おいしい煮玉子	
4	00:00:00	JUNY	おいしい煮玉子	
5	00:00:00	じょーげん	おいしい煮玉子	
6	00:00:00	天然ステルス	おいしい煮玉子	
7	00:00:00	Redmix	おいしい煮玉子	
8	00:00:00	K. u		￥100
9	00:00:13	ホワイトラン衛兵	おいしい煮玉子	
10	00:00:16	まりも	おいしい煮玉子	
11	00:00:22	ほるもん	おいしい煮玉子	
12	00:00:24	小さい胡麻塩	おいしい煮玉子	
13	00:00:35	JUNY	おはよう姉ちゃん	
14	00:00:41	K. u	おいしい煮玉子	
15	00:00:45	まりも	タイマー大丈夫？	
16	00:00:46	Ryo Kamiya	おいしい煮玉子	
17	00:02:36	K. u	寝落ちしてたけど名前...	
18	00:02:44	JUNY	気づいたら子供が10歳はしんどいね	
19	00:02:50	レコ	おいしい煮玉子	
20	00:02:53	ss kk	子供の名前はどうきといきぎれになったのか	
21	00:03:26	天然ステルス	三重苦すぎる…	
22	00:04:12	べるべる	誰もいないから連れて行かないと	
23	00:04:21	JUNY	3つ子ならきつけちゃんが救いになったのに	
24	00:05:06	べるべる	いたわ ごめんね	
25	00:05:55	K. u	兜取れるよ	
26	00:05:58	sio3go	おいしい煮玉子	
27	00:06:14	ss kk	主人公の母親の故郷に行くところから	
28	00:06:21	りょーじゅん	美人の女王いるとこ	
29	00:06:25	ムジアンドウ	おは姉ちゃん	
30	00:06:37	まりも	砂漠のテルパドール	
31	00:06:38	べるべる	兜はテルパドール	
32	00:06:49	近藤大輔	おはよう🌄順調ですか	
33	00:08:34	じょーげん	電波か	
34	00:08:56	レコ	女王と息子の話が4コマ劇場で多かった気がする	
35	00:09:28	レコ	こわい	
36	00:10:59	JUNY	ジュエル輝いてるな	
37	00:11:12	K. u	息子は安上がりで助かるなぁ	
38	00:11:17	べるべる	もっかい話聞きに戻る？	
39	00:11:45	ゼッケン100	おいしい煮玉子	
40	00:12:32	ゼッケン100	ネーレウスも勧誘できるよ	
41	00:12:32	パンセポンセ	ネレウス！	
42	00:12:59	べるべる	ゴーレムそろそろだっけ	
43	00:13:01	ゼッケン100	大陸の北の方にあるよ	
44	00:13:06	りょーじゅん	４コマだと大抵面白枠なネレウスおじいちゃん	
45	00:14:13	K. u	そこはまだだね	
46	00:14:32	ょぅι ゙ょデッテヰウ	おはよう	
47	00:14:58	ょぅι ゙ょデッテヰウ	ゴーレム仲間にした？	
48	00:15:00	K. u	救済四天王最強格	
49	00:15:08	べるべる	船乗ったまま入れるとこだった気がする	
50	00:15:33	ss kk	今地図の右上に見えた海上の洞窟から船で入る	
51	00:15:45	パンセポンセ	つよい	
52	00:16:11	ゼッケン100	みなごろしは実はザキ系統扱いだからザキ系効かないモンスターだけで挑むと安全 だったと思う	
53	00:16:42	ゼッケン100	ゴレムス来るかな	
54	00:17:11	ょぅι ゙ょデッテヰウ	ゴーレムは仲間になりやすい部類だった気がする	
55	00:17:25	りょーじゅん	ゴレムスついでにエミリーも狙えるね	
56	00:17:34	ゼッケン100	きたー	
57	00:17:37	ss kk	やったね	
58	00:00:00	むむめめ	おいしい煮玉子	
59	00:00:00	桜田紅	おいしい煮玉子	
60	00:00:00	べるべる	おいしい煮玉子	
61	00:00:00	小さい胡麻塩	おいしい煮玉子	
62	00:00:00	JUNY	おいしい煮玉子	
63	00:00:00	じょーげん	おいしい煮玉子	
64	00:00:00	天然ステルス	おいしい煮玉子	
65	00:00:00	Redmix	おいしい煮玉子	
66	00:00:00	K. u		￥100
67	00:00:13	ホワイトラン衛兵	おいしい煮玉子	
68	00:00:16	まりも	おいしい煮玉子	
69	00:00:22	ほるもん	おいしい煮玉子	
70	00:00:24	小さい胡麻塩	おいしい煮玉子	
71	00:00:35	JUNY	おはよう姉ちゃん	
72	00:00:41	K. u	おいしい煮玉子	
73	00:00:45	まりも	タイマー大丈夫？	
74	00:00:46	Ryo Kamiya	おいしい煮玉子	
75	00:02:36	K. u	寝落ちしてたけど名前...	
76	00:02:44	JUNY	気づいたら子供が10歳はしんどいね	
77	00:02:50	レコ	おいしい煮玉子	
78	00:02:53	ss kk	子供の名前はどうきといきぎれになったのか	
79	00:03:26	天然ステルス	三重苦すぎる…	
80	00:04:12	べるべる	誰もいないから連れて行かないと	
81	00:04:21	JUNY	3つ子ならきつけちゃんが救いになったのに	
82	00:05:06	べるべる	いたわ ごめんね	
83	00:05:55	K. u	兜取れるよ	
84	00:05:58	sio3go	おいしい煮玉子	
85	00:06:14	ss kk	主人公の母親の故郷に行くところから	
86	00:06:21	りょーじゅん	美人の女王いるとこ	
87	00:06:25	ムジアンドウ	おは姉ちゃん	
88	00:06:37	まりも	砂漠のテルパドール	
89	00:06:38	べるべる	兜はテルパドール	
90	00:06:49	近藤大輔	おはよう🌄順調ですか	
91	00:08:34	じょーげん	電波か	
92	00:08:56	レコ	女王と息子の話が4コマ劇場で多かった気がする	
93	00:09:28	レコ	こわい	
94	00:10:59	JUNY	ジュエル輝いてるな	
95	00:11:12	K. u	息子は安上がりで助かるなぁ	
96	00:11:17	べるべる	もっかい話聞きに戻る？	
97	00:11:45	ゼッケン100	おいしい煮玉子	
98	00:12:32	ゼッケン100	ネーレウスも勧誘できるよ	
99	00:12:32	パンセポンセ	ネレウス！	
