行番号	投稿時間	投稿者	メッセージ	スパチャ
0	00:00:08	らうらう	おいしい煮玉子	
1	00:00:09	スモーク	おいしい煮玉子	
2	00:00:11	motiyomogi	おいしい煮玉子	
3	00:00:15	にけい	はじまった！	
4	00:00:18	Shota Hamada	おいしい煮玉子	
5	00:00:20	刀根雅武	おいしい煮玉子	
6	00:00:25	ジョナサン・グレーン	おいしい煮玉子	
7	00:00:26	なんたら	おいしい煮玉子	
8	00:00:28	にけい	おいしい煮玉子	
9	00:00:28	ほるもん	おいしい煮玉子	
10	00:00:29	まておりっち	おいしい煮玉子	
11	00:00:31	ミワタリ	おいしい煮玉子	
12	00:00:33	うぇいのる	おいしい煮玉子	
13	00:00:33	いぶきんぐ	おいしい煮玉子	
14	00:00:44	_ Die	おいしい煮玉子	
15	00:00:47	らうらう	でかい	
16	00:00:50	最適化	おいしい煮玉子	
17	00:00:51	mori mori	草	
18	00:00:53	まておりっち	イヌージョンさん！！！	
19	00:00:54	sio3go	おいしい煮玉子	
20	00:00:55	煮込みカプチーノ	おいしい煮卵	
21	00:00:56	いぶきんぐ	草	
22	00:00:57	motiyomogi	おいしい草彅剛	
23	00:00:58	ジョナサン・グレーン	草	
24	00:00:58	半年ROM	おいしい煮玉子	
25	00:01:02	竹輪	おいしい煮玉子	
26	00:01:02	ジョニー	おいしい煮卵	
27	00:01:03	うぇいのる	イヌポーズバッチリ決まってるな…	
28	00:01:09	おこめ	草	
29	00:01:15	かっちん.	イヌ！	
30	00:01:15	むーたらしゅ	おいし彅剛	
31	00:01:16	にけい	スッキリしとるんかイヌ	
32	00:01:22	いぶきんぐ	暴露されてる…	
33	00:01:31	ここあ	美味しい煮玉子	
34	00:01:38	霧鮫まるる	いいや限界だっ！押すねッ！！今だッ！（高評価）	
35	00:01:40	小鬼ゆらぐの鬼退治	たのしみ〜	
36	00:01:40	ジュンペイ	おいしい煮玉子	
37	00:01:44	Fuzuki K	イヌの音圧すっげえ	
38	00:01:45	まておりっち	映画は初見ですね	
39	00:01:49	ジョナサン・グレーン	草	
40	00:01:52	刀根雅武	おれも初見だから楽しみ	
41	00:01:53	にけい	だれも怖くて観てないやつ	
42	00:01:55	いぶきんぐ	観た人からは割と評判良かった覚えが	
43	00:02:00	東京コノハムシ	おいしい煮玉子	
44	00:02:01	れじおすた	草	
45	00:02:01	motiyomogi	草	
46	00:02:02	竹輪	草	
47	00:02:04	mori mori	なんてことを	
48	00:02:04	ミワタリ	草	
49	00:02:09	Shota Hamada	草	
50	00:00:08	らうらう	おいしい煮玉子	
51	00:00:09	スモーク	おいしい煮玉子	
52	00:00:11	motiyomogi	おいしい煮玉子	
53	00:00:15	にけい	はじまった！	
54	00:00:18	Shota Hamada	おいしい煮玉子	
55	00:00:20	刀根雅武	おいしい煮玉子	
56	00:00:25	ジョナサン・グレーン	おいしい煮玉子	
57	00:00:26	なんたら	おいしい煮玉子	
58	00:00:28	にけい	おいしい煮玉子	
59	00:00:28	ほるもん	おいしい煮玉子	
60	00:00:29	まておりっち	おいしい煮玉子	
61	00:00:31	ミワタリ	おいしい煮玉子	
62	00:00:33	うぇいのる	おいしい煮玉子	
63	00:00:33	いぶきんぐ	おいしい煮玉子	
64	00:00:44	_ Die	おいしい煮玉子	
65	00:00:47	らうらう	でかい	
66	00:00:50	最適化	おいしい煮玉子	
67	00:00:51	mori mori	草	
68	00:00:53	まておりっち	イヌージョンさん！！！	
69	00:00:54	sio3go	おいしい煮玉子	
70	00:00:55	煮込みカプチーノ	おいしい煮卵	
71	00:00:56	いぶきんぐ	草	
72	00:00:57	motiyomogi	おいしい草彅剛	
73	00:00:58	ジョナサン・グレーン	草	
74	00:00:58	半年ROM	おいしい煮玉子	
75	00:01:02	竹輪	おいしい煮玉子	
76	00:01:02	ジョニー	おいしい煮卵	
77	00:01:03	うぇいのる	イヌポーズバッチリ決まってるな…	
78	00:01:09	おこめ	草	
79	00:01:15	かっちん.	イヌ！	
80	00:01:15	むーたらしゅ	おいし彅剛	
81	00:01:16	にけい	スッキリしとるんかイヌ	
82	00:01:22	いぶきんぐ	暴露されてる…	
83	00:01:31	ここあ	美味しい煮玉子	
84	00:01:38	霧鮫まるる	いいや限界だっ！押すねッ！！今だッ！（高評価）	
85	00:01:40	小鬼ゆらぐの鬼退治	たのしみ〜	
86	00:01:40	ジュンペイ	おいしい煮玉子	
87	00:01:44	Fuzuki K	イヌの音圧すっげえ	
88	00:01:45	まておりっち	映画は初見ですね	
89	00:01:49	ジョナサン・グレーン	草	
90	00:01:52	刀根雅武	おれも初見だから楽しみ	
91	00:01:53	にけい	だれも怖くて観てないやつ	
92	00:01:55	いぶきんぐ	観た人からは割と評判良かった覚えが	
93	00:02:00	東京コノハムシ	おいしい煮玉子	
94	00:02:01	れじおすた	草	
95	00:02:01	motiyomogi	草	
96	00:02:02	竹輪	草	
97	00:02:04	mori mori	なんてことを	
98	00:02:04	ミワタリ	草	
99	00:02:09	Shota Hamada	草	
100	00:02:24	煮込みカプチーノ	草	
101	00:02:25	らうらう	草	
102	00:02:40	小さい胡麻塩	おいしい煮玉子	
103	00:02:42	いぶきんぐ	ひとい	
104	00:02:46	ラーメンしらす	おいしい煮卵	
105	00:02:48	ごり とりら	確かにファントムブラッド見れたら見たいね	
106	00:02:50	ミワタリ	ひどい	
107	00:02:52	mori mori	黒歴史は波紋の演出だけは良いよ	
108	00:03:07	Fuzuki K	スピードワゴンいないの！？	
109	00:03:09	なんたら	華麗に去りすぎる…	
110	00:03:16	水澤悠仮面ライダーアマゾンオメガ	こんばんは😃🌃	
111	00:03:22	ジョナサン・グレーン	スピードワゴンは華麗に去るぜ	
112	00:03:23	ミワタリ	スピードワゴンいないのか…	
113	00:03:26	いぶきんぐ	スピードワゴンいなかったらシリーズ続かない…	
114	00:03:27	Shota Hamada	ワゴンセールｗｗ	
115	00:03:28	Fuzuki K	おっけー	
116	00:03:51	motiyomogi	草	
117	00:03:53	ミワタリ	草	
118	00:03:54	みよ	くさなぎ煮玉子	
119	00:03:56	ジョナサン・グレーン	草	
120	00:03:57	にけい	頭にCMが入るから気をつけないと	
121	00:03:59	Shota Hamada	なんだってー！	
122	00:04:01	竹輪	草	
123	00:04:03	いぶきんぐ	突然興奮するイヌ	
124	00:04:04	Fuzuki K	ラブライブは関係ねェだろラブライブはよォーッ！	
125	00:04:20	水澤悠仮面ライダーアマゾンオメガ	CMラブライブは草(笑)	
126	00:04:22	竹輪	絶対見なきゃ	
127	00:04:29	刀根雅武	入ろう！アマプラ！	
128	00:04:46	ジョナサン・グレーン	バイナウ！	
129	00:04:55	竹輪	すごい	
130	00:05:20	mori mori	草	
131	00:05:37	eve	おいしい煮玉子	
132	00:05:38	ジョナサン・グレーン	草	
133	00:05:39	なんたら	どのラ？	
134	00:05:41	おこめ	ドララァ！	
